HIS	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q80W22_1_469_1kl7.1.A_swissmodel_HIS_PLP_1.dlg	-9.43	6	-9.43	6	-3.62	6	-3.62	6	-4.03	59	-3.49	-5.6	60	1	14
Q71RI9-1_42_451_5veq.1.A_swissmodel_HIS_PLP_2.dlg	-14.52	88	-14.52	88	-5.78	88	-5.78	88	-6.29	60	-5.22	-6.86	26	1	56
P61922-1_39_499_4zsy.1.A_swissmodel_HIS_PLP_1.dlg	-11.91	55	-11.91	55	-3.86	55	-3.86	55	-4.29	13	-3.74	-6.23	60	1	23
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_HIS_PLP_1.dlg	-9.08	95	-9.08	95	-3.48	95	-3.48	95	-3.74	46	-3.5	-5.27	82	1	22
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_2.dlg	-10.46	47	-10.46	47	-5.25	47	-5.25	47	-5.79	30	-5.0	-5.79	30	1	54
O88986_28_415_1fc4.1.A_swissmodel_HIS_PLP_1.dlg	-11.01	23	-11.01	23	-5.6	23	-5.6	23	-5.76	28	-4.9	-6.02	38	1	79
Q7TSV6-1_3_399_2cst.1.A_swissmodel_HIS_PLP_1.dlg	-11.23	32	-11.23	32	-2.76	32	-2.76	32	-4.84	43	-3.49	-5.93	49	1	33
O35423-1_27_412_3kgx_pdb_HIS_PLP_1.dlg	-10.68	53	-10.61	34	-5.0	53	-3.18	34	-3.48	24	-3.25	-5.71	74	2	21
Q7TSV6-1_3_399_2cst.1.A_swissmodel_HIS_PLP_2.dlg	-11.23	89	-10.87	16	-6.36	89	-4.39	16	-4.94	5	-4.27	-7.11	17	3	14
Q71RI9-1_42_451_3e2y_pdb_HIS_PLP_1.dlg	-15.76	8	-15.76	8	-6.56	8	-6.56	8	-6.73	89	-5.26	-8.36	39	1	45
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_4.dlg	-16.8	55	-16.8	55	-6.46	55	-6.46	55	-6.71	65	-5.26	-7.14	62	1	68
Q8QZR5_20_495_3tcm.1.A_swissmodel_HIS_PLP_1.dlg	-9.99	19	-9.99	19	-3.17	19	-3.17	19	-3.73	89	-2.45	-6.03	23	1	51
P08680_143_578_6hrh.1.B_swissmodel_HIS_PLP_1.dlg	-12.96	8	-12.96	8	-4.58	8	-4.58	8	-5.64	93	-4.59	-6.27	26	1	94
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_1.dlg	-9.04	75	-9.04	75	-3.86	75	-3.86	75	-5.17	12	-4.17	-5.17	12	1	69
P00860_2_418_7odc_pdb_HIS_PLP_2.dlg	-12.32	66	-12.04	69	-4.69	66	-7.5	69	-7.58	91	-6.95	-7.58	91	3	17
Q91WT9-1_39_559_4l28.1.A_swissmodel_HIS_PLP_2.dlg	-8.44	49	-8.12	7	-5.55	49	-3.73	7	-3.94	80	-2.88	-6.64	69	2	20
Q80WP8-2_59_493_6enz.1.A_swissmodel_HIS_PLP_2.dlg	-10.14	95	-10.14	95	-4.77	95	-4.77	95	-5.13	54	-3.82	-6.23	47	1	28
O35484_8_435_3btn.1.A_swissmodel_HIS_PLP_1.dlg	-7.19	30	-7.19	30	-3.58	30	-3.58	30	-3.9	37	-3.2	-3.99	20	1	21
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_2.dlg	-13.89	44	-13.54	28	-3.74	44	-5.59	28	-5.9	98	-5.24	-6.46	99	3	45
Q80WP8-2_63_477_5hsj.1.A_swissmodel_HIS_PLP_1.dlg	-9.75	98	-8.3	69	-4.54	98	-2.98	69	-3.01	100	-2.44	-5.72	28	18	12
P05202_32_430_1ama.1.A_swissmodel_HIS_PLP_1.dlg	-16.52	64	-16.52	64	-7.28	64	-7.28	64	-7.28	64	-6.36	-7.62	79	1	47
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_2.dlg	-6.72	59	-4.65	75	-3.48	59	-2.74	75	-2.77	56	-1.83	-4.83	6	7	14
P48318_92_593_2okj.1.A_swissmodel_HIS_PLP_1.dlg	-11.59	32	-11.59	32	-5.27	32	-5.27	32	-6.38	50	-5.48	-6.38	50	1	24
P05202_32_430_1ama.1.A_swissmodel_HIS_PLP_2.dlg	-16.5	6	-16.5	6	-7.1	6	-7.1	6	-7.29	14	-6.45	-7.29	14	1	61
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_3.dlg	-10.52	70	-10.52	70	-5.18	70	-5.18	70	-5.79	32	-4.44	-5.8	20	1	56
P05201_1_413_5tor.1.A_swissmodel_HIS_PLP_2.dlg	-12.08	27	-12.08	27	-4.07	27	-4.07	27	-5.04	7	-4.34	-6.67	73	1	26
Q14CH1_35_495_5j8q.1.A_swissmodel_HIS_PLP_2.dlg	-8.82	43	-8.82	43	-2.55	43	-2.55	43	-3.22	92	-2.51	-4.8	87	1	19
Q8R0X7_110_553_4q6r.1.A_swissmodel_HIS_PLP_1.dlg	-13.07	7	-13.07	7	-5.51	7	-5.51	7	-6.0	58	-5.34	-6.0	58	1	38
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_1.dlg	-14.57	89	-14.57	89	-7.2	89	-7.2	89	-7.65	35	-6.98	-7.87	8	1	59
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-11.83	12	-10.48	95	-5.48	12	-4.39	95	-4.6	100	-4.06	-5.99	7	5	27
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_1.dlg	-13.69	47	-13.27	1	-4.6	47	-4.94	1	-6.1	18	-5.09	-8.24	87	3	38
Q8QZR1_52_442_4ge9.1.A_swissmodel_HIS_PLP_1.dlg	-8.65	3	-8.5	47	-3.17	3	-3.49	47	-3.49	47	-2.75	-5.46	87	2	17
P05202_30_430_3pd6_pdb_HIS_PLP_1.dlg	-14.6	45	-14.6	45	-4.73	45	-4.73	45	-5.54	10	-4.86	-7.74	38	1	46
P00860_7_427_1d7k.1.A_swissmodel_HIS_PLP_2.dlg	-10.5	82	-9.69	54	-3.94	82	-6.45	54	-6.45	54	-5.84	-6.45	54	5	17
A2AIG8-2_42_459_4n0b.2.B_swissmodel_HIS_PLP_1.dlg	-10.74	81	-10.66	50	-5.14	81	-4.08	50	-4.72	52	-4.23	-6.51	54	2	15
P24288_21_385_2abj.1.A_swissmodel_HIS_PLP_1.dlg	-11.74	96	-11.74	96	-5.05	96	-5.05	96	-5.59	81	-4.54	-6.34	85	1	26
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_3.dlg	-12.83	3	-12.83	3	-3.55	3	-3.55	3	-4.78	93	-3.83	-6.14	92	1	51
O35423-1_23_412_3kgw.1.A_swissmodel_HIS_PLP_2.dlg	-11.74	20	-9.43	72	-5.3	20	-6.7	72	-6.85	29	-5.09	-6.85	29	7	32
A2AIG8-2_41_459_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-10.28	14	-10.28	14	-4.73	14	-4.73	14	-4.74	18	-4.15	-5.89	48	1	40
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_4.dlg	-10.65	59	-10.62	24	-4.11	59	-5.68	24	-5.88	78	-5.45	-5.91	54	2	26
Q3UNZ2_26_422_1d7k.1.B_swissmodel_HIS_PLP_1.dlg	-11.25	62	-10.42	90	-5.06	62	-4.41	90	-4.76	29	-3.96	-6.26	86	3	28
Q71RI9-1_42_451_3e2z_pdb_HIS_PLP_2.dlg	-16.37	34	-16.37	34	-6.14	34	-6.14	34	-6.75	58	-5.59	-8.2	22	1	69
P50431_1_478_1eji_pdb_HIS_PLP_3.dlg	-11.44	54	-11.44	54	-6.08	54	-6.08	54	-6.08	54	-5.35	-6.25	22	1	27
Q71RI9-1_42_451_3e2y_pdb_HIS_PLP_2.dlg	-16.36	17	-16.36	17	-6.55	17	-6.55	17	-6.63	9	-5.38	-7.72	38	1	64
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_2.dlg	-11.55	16	-11.55	16	-4.46	16	-4.46	16	-4.6	50	-3.68	-7.96	28	1	22
O35484_11_417_1d7k.1.B_swissmodel_HIS_PLP_1.dlg	-7.0	52	-7.0	52	-3.63	52	-3.63	52	-3.72	8	-3.29	-4.15	73	1	27
Q9ET01_24_839_1xoi.1.A_swissmodel_HIS_PLP_1.dlg	-11.8	70	-10.98	18	-4.75	70	-4.73	18	-5.76	7	-5.0	-5.91	43	3	19
O35484_11_417_1d7k.1.B_swissmodel_HIS_PLP_2.dlg	-5.26	11	-4.78	81	-2.76	11	-2.35	81	-2.91	12	-2.39	-3.79	54	3	28
Q71RI9-2_7_416_5veq.1.A_swissmodel_HIS_PLP_1.dlg	-14.9	90	-14.9	90	-6.23	90	-6.23	90	-6.59	6	-6.16	-7.57	46	1	62
A2AIG8-1_37_482_4n0b.2.B_swissmodel_HIS_PLP_1.dlg	-10.95	38	-10.95	38	-5.27	38	-5.27	38	-5.41	60	-5.01	-6.68	3	1	21
P05202_30_430_3pd6_pdb_HIS_PLP_2.dlg	-14.04	96	-14.04	96	-5.35	96	-5.35	96	-5.35	96	-4.69	-8.06	90	1	28
A2AIG8-1_64_482_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-9.96	75	-9.96	75	-3.9	75	-3.9	75	-4.8	89	-4.0	-5.54	22	1	33
Q8CI94_11_836_2pyd.1.A_swissmodel_HIS_PLP_1.dlg	-10.94	83	-10.04	72	-4.38	83	-5.75	72	-5.99	52	-4.96	-5.99	52	4	29
Q91WT9-1_40_557_4pcu.1.A_swissmodel_HIS_PLP_2.dlg	-9.22	2	-9.2	98	-4.73	2	-3.27	98	-3.7	40	-3.03	-5.55	83	2	20
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_HIS_PLP_1.dlg	-10.14	49	-8.65	56	-5.45	49	-3.83	56	-4.74	38	-4.2	-5.45	49	2	18
P48320_88_584_2okk.1.A_swissmodel_HIS_PLP_1.dlg	-10.75	57	-10.75	57	-3.18	57	-3.18	57	-3.19	6	-2.72	-5.94	54	1	25
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_3.dlg	-12.97	67	-12.38	2	-8.35	67	-5.21	2	-5.65	87	-4.76	-8.44	30	2	35
Q8BWU8_9_436_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	-12.67	31	-12.67	31	-4.89	31	-4.89	31	-5.24	7	-4.43	-7.33	8	1	23
Q3UX83-2_102_522_6d0a.1.A_swissmodel_HIS_PLP_1.dlg	-10.02	75	-8.3	95	-5.04	75	-2.53	95	-2.96	48	-2.48	-6.36	10	3	14
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HIS_PLP_2.dlg	-6.83	78	-6.26	58	-3.46	78	-1.93	58	-2.98	28	-2.45	-4.13	47	2	17
Q8VC19_199_634_6hrh.1.B_swissmodel_HIS_PLP_2.dlg	-12.36	58	-12.36	58	-4.74	58	-4.74	58	-5.92	100	-4.8	-5.92	100	1	66
Q71RI9-1_42_451_2zjg_pdb_HIS_PLP_1.dlg	-13.21	28	-10.43	84	-6.0	28	-3.39	84	-3.68	27	-3.49	-7.6	10	9	23
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	-14.04	81	-14.04	81	-7.85	81	-7.85	81	-7.85	81	-6.98	-7.85	81	1	27
