KYN	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q71RI9-1_42_451_3e2f_pdb_KYNU_PLP_1.dlg	-13.72	72	-12.0	76	-6.49	72	-7.08	76	-7.73	29	-6.9	-8.57	26	6	23
Q8VC19_199_634_6hrh.1.B_swissmodel_KYNU_PLP_1.dlg	-12.87	76	-12.87	76	-5.22	76	-5.22	76	-6.54	8	-4.8	-6.92	91	1	73
P50431_1_478_1eji_pdb_KYNU_PLP_3.dlg	-13.88	10	-13.02	31	-7.36	10	-7.17	31	-8.39	18	-7.06	-8.39	18	4	34
Q71RI9-1_42_451_5ver_pdb_KYNU_PLP_4.dlg
O88533_1_467_1js6.1.A_swissmodel_KYNU_PLP_2.dlg	-12.1	4	-12.1	4	-6.47	4	-6.47	4	-7.34	77	-6.42	-8.26	3	1	27
Q6P6M7_23_467_3bc8_pdb_KYNU_PLP_2.dlg	-15.2	48	-15.2	48	-7.21	48	-7.21	48	-7.6	86	-6.68	-7.6	86	1	20
Q8BWU8_9_436_5g4i.1.A_swissmodel_KYNU_PLP_2.dlg	-13.49	44	-13.13	27	-6.68	44	-8.07	27	-8.47	93	-7.5	-8.51	75	5	10
A2AIG8-2_42_459_4n0b.2.B_swissmodel_KYNU_PLP_1.dlg	-12.39	2	-11.18	8	-6.06	2	-6.69	8	-7.45	75	-6.67	-7.45	75	6	15
Q91WT9-2_40_543_4pcu.1.B_swissmodel_KYNU_PLP_2.dlg	-7.64	94	-3.61	55	-4.63	94	-1.84	55	-4.7	95	-1.62	-6.14	23	7	24
Q6P6M7_23_467_3bcb_pdb_KYNU_PLP_4.dlg
Q71RI9-1_42_451_3e2z_pdb_KYNU_PLP_1.dlg	-14.83	76	-14.83	76	-8.1	76	-8.1	76	-9.23	50	-7.95	-9.23	50	1	14
O35855_29_393_1ekp.1.A_swissmodel_KYNU_PLP_1.dlg	-13.31	7	-11.09	57	-6.25	7	-6.99	57	-8.02	25	-6.7	-8.13	94	7	12
P48320_88_584_2okk.1.A_swissmodel_KYNU_PLP_1.dlg	-12.65	46	-12.65	46	-4.63	46	-4.63	46	-4.63	46	-3.82	-8.26	26	1	10
Q6P6M7_23_467_3bc8_pdb_KYNU_PLP_1.dlg	-14.89	85	-14.89	85	-7.07	85	-7.07	85	-7.54	87	-6.24	-9.75	2	1	15
Q8BG54_108_530_6hrh.1.B_swissmodel_KYNU_PLP_1.dlg	-12.26	25	-12.26	25	-4.97	25	-4.97	25	-6.37	70	-4.29	-6.7	57	1	41
Q80WP8-1_59_550_6enz.1.A_swissmodel_KYNU_PLP_2.dlg	-13.0	52	-10.46	3	-6.38	52	-5.4	3	-6.64	56	-5.74	-7.59	89	4	21
Q8QZR1_64_442_3pdx.1.A_swissmodel_KYNU_PLP_2.dlg	-11.46	27	-11.46	27	-4.74	27	-4.74	27	-5.89	98	-5.22	-7.06	55	1	29
A2AIG8-1_37_482_4n0b.2.B_swissmodel_KYNU_PLP_1.dlg	-12.74	92	-10.99	12	-6.15	92	-6.83	12	-7.33	27	-6.59	-7.33	27	6	12
Q9WVM8_1_425_4gdy.1.B_swissmodel_KYNU_PLP_2.dlg	-14.75	98	-14.75	98	-5.35	98	-5.35	98	-6.28	7	-4.94	-8.83	74	1	25
Q8R0X7_110_553_4q6r.1.A_swissmodel_KYNU_PLP_1.dlg	-13.84	8	-13.84	8	-6.88	8	-6.88	8	-6.88	8	-6.23	-8.3	26	1	15
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_KYNU_PLP_2.dlg	-10.05	34	-10.05	34	-6.8	34	-6.8	34	-7.1	95	-5.96	-7.36	81	1	32
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_KYNU_PLP_2.dlg	-12.11	95	-11.62	81	-7.58	95	-4.56	81	-5.28	8	-4.18	-7.58	95	2	18
P05202_30_430_3pd6_pdb_KYNU_PLP_1.dlg	-15.81	76	-15.81	76	-6.19	76	-6.19	76	-6.72	63	-5.94	-8.63	19	1	30
Q6P6M7_23_466_3bca_pdb_KYNU_PLP_4.dlg
Q8VBT2_1_325_1pwh.2.A_swissmodel_KYNU_PLP_1.dlg	-10.83	71	-10.83	71	-4.35	71	-4.35	71	-6.79	49	-4.44	-7.3	7	1	28
Q8VC19_199_634_6hrh.1.B_swissmodel_KYNU_PLP_2.dlg	-11.45	50	-11.45	50	-4.75	50	-4.75	50	-5.9	42	-3.91	-7.56	69	1	35
P50431_9_478_1rvu.1.A_swissmodel_KYNU_PLP_2.dlg	-11.24	76	-11.24	76	-7.42	76	-7.42	76	-7.54	72	-6.37	-7.54	72	1	49
Q6XPS7_39_398_1lw4.1.D_swissmodel_KYNU_PLP_2.dlg	-3.75	65	-3.47	81	-1.69	65	-4.83	81	-4.96	39	-3.1	-7.4	98	2	18
Q9CXF0_6_460_3e9k.1.A_swissmodel_KYNU_PLP_2.dlg	-9.76	93	-9.76	93	-3.81	93	-3.81	93	-4.34	96	-3.68	-8.27	32	1	18
Q8VBT2_5_317_2o2j.1.B_swissmodel_KYNU_PLP_2.dlg	-10.98	92	-10.98	92	-4.91	92	-4.91	92	-5.68	63	-4.96	-7.2	21	1	14
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_KYNU_PLP_1.dlg	-10.81	57	-10.81	57	-7.33	57	-7.33	57	-7.39	92	-5.8	-7.39	92	1	38
Q3UEG6_52_507_4atp.1.A_swissmodel_KYNU_PLP_4.dlg	-6.95	96	-6.95	96	-4.21	96	-4.21	96	-4.38	27	-2.48	-6.44	8	1	20
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_KYNU_PLP_2.dlg	-10.32	72	-10.32	72	-3.83	72	-3.83	72	-3.87	30	-3.54	-6.82	98	1	7
O88533_1_467_1js6.1.A_swissmodel_KYNU_PLP_1.dlg	-12.3	50	-12.3	50	-6.45	50	-6.45	50	-6.96	93	-6.43	-8.2	71	1	28
Q8QZR5_20_495_3tcm.1.A_swissmodel_KYNU_PLP_1.dlg	-8.61	12	-6.86	92	-3.07	12	-4.97	92	-5.75	51	-2.2	-7.06	32	2	36
Q3UX83-2_105_524_1m4n.1.A_swissmodel_KYNU_PLP_2.dlg	-12.63	25	-12.63	25	-5.88	25	-5.88	25	-6.38	97	-5.83	-8.37	36	1	14
Q91WT9-1_40_557_4pcu.1.A_swissmodel_KYNU_PLP_1.dlg	-11.84	29	-11.84	29	-4.38	29	-4.38	29	-5.12	38	-4.17	-7.91	64	1	11
Q8VCN5_9_398_5tsu.1.C_swissmodel_KYNU_PLP_4.dlg
P23738_17_484_4e1o.1.A_swissmodel_KYNU_PLP_2.dlg	-14.37	36	-14.37	36	-6.75	36	-6.75	36	-7.07	6	-6.32	-7.88	78	1	32
Q14CH1_48_490_3a9y.1.B_swissmodel_KYNU_PLP_2.dlg	-3.85	21	-3.46	93	-3.56	21	-3.13	93	-3.77	67	-0.79	-4.71	50	2	23
Q6XPS7_39_398_1lw4.1.D_swissmodel_KYNU_PLP_3.dlg	-5.22	67	-5.22	67	-4.5	67	-4.5	67	-4.86	65	-2.32	-6.66	97	1	18
Q80WP8-1_59_550_6enz.1.A_swissmodel_KYNU_PLP_1.dlg	-10.67	83	-10.03	33	-6.15	83	-6.6	33	-6.6	33	-5.6	-7.44	73	4	9
Q71RI9-1_42_451_5veq_pdb_KYNU_PLP_2.dlg	-17.47	86	-17.47	86	-7.99	86	-7.99	86	-9.04	28	-7.52	-9.04	28	1	47
P05201_1_413_5tor.1.A_swissmodel_KYNU_PLP_1.dlg	-14.26	6	-14.26	6	-6.68	6	-6.68	6	-6.9	10	-6.0	-9.13	67	1	30
P05201_1_413_5tor.1.A_swissmodel_KYNU_PLP_2.dlg	-13.71	27	-13.71	27	-6.31	27	-6.31	27	-6.42	20	-5.71	-8.77	11	1	18
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_KYNU_PLP_1.dlg	-8.43	51	-8.05	74	-6.19	51	-3.36	74	-3.93	10	-3.08	-6.19	51	4	10
Q71RI9-1_42_451_5vep_pdb_KYNU_PLP_4.dlg
O88986_28_415_1fc4.1.A_swissmodel_KYNU_PLP_2.dlg	-11.02	43	-11.02	43	-5.08	43	-5.08	43	-5.22	35	-3.14	-5.95	70	1	40
Q3UNZ2_26_422_1d7k.1.B_swissmodel_KYNU_PLP_1.dlg	-10.97	16	-10.5	21	-4.93	16	-5.35	21	-6.27	14	-5.06	-6.84	61	3	17
Q80W22_1_469_1kl7.1.A_swissmodel_KYNU_PLP_1.dlg	-10.08	13	-9.91	96	-3.91	13	-5.23	96	-5.27	19	-4.83	-6.37	77	2	15
P29758_38_439_2can.1.A_swissmodel_KYNU_PLP_1.dlg	-9.97	100	-9.57	98	-6.81	100	-5.18	98	-5.54	72	-4.85	-7.22	52	5	26
Q6XPS7_39_398_1lw4.1.D_swissmodel_KYNU_PLP_4.dlg
Q91WT9-2_40_543_4pcu.1.B_swissmodel_KYNU_PLP_1.dlg	-7.77	34	-2.91	12	-4.62	34	-2.97	12	-4.06	54	-1.55	-5.75	1	7	21
P05202_30_430_3hlm_pdb_KYNU_PLP_2.dlg	-14.81	16	-14.81	16	-5.52	16	-5.52	16	-6.59	31	-5.7	-8.9	55	1	23
Q99K85_17_370_3e77.1.A_swissmodel_KYNU_PLP_1.dlg	-13.42	75	-12.38	30	-6.04	75	-6.64	30	-9.24	47	-6.84	-9.24	47	3	17
Q6P6M7_23_467_3bcb.1.A_swissmodel_KYNU_PLP_1.dlg	-14.4	51	-13.62	47	-6.94	51	-5.2	47	-5.2	47	-4.4	-7.95	91	3	10
P00860_7_427_1d7k.1.A_swissmodel_KYNU_PLP_1.dlg	-11.17	21	-11.17	21	-5.09	21	-5.09	21	-5.9	77	-4.68	-7.42	57	1	16
Q91WT9-2_40_543_4pcu.1.A_swissmodel_KYNU_PLP_2.dlg	-7.07	92	-4.43	56	-4.38	92	-4.1	56	-4.1	56	-2.02	-5.69	4	3	22
Q9WVM8_1_425_4gdy.1.B_swissmodel_KYNU_PLP_1.dlg	-15.23	81	-15.23	81	-6.32	81	-6.32	81	-6.32	81	-5.04	-8.83	78	1	20
Q71RI9-1_42_451_5vep_pdb_KYNU_PLP_2.dlg	-13.01	25	-12.5	32	-7.39	25	-6.72	32	-7.04	79	-6.64	-8.26	94	3	14
Q80WP8-2_59_493_6enz.1.A_swissmodel_KYNU_PLP_2.dlg	-9.6	60	-9.26	72	-5.72	60	-5.58	72	-5.88	74	-3.69	-7.36	20	2	19
