CYT	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P23738_17_484_4e1o.1.A_swissmodel_CYT_PLP_1.dlg	-14.84	29	-14.84	29	-5.77	29	-5.77	29	-7.88	74	-6.37	-8.94	62	1	39
P24288_21_385_2abj.1.A_swissmodel_CYT_PLP_1.dlg	-13.38	74	-13.38	74	-5.09	74	-5.09	74	-6.8	1	-5.0	-8.12	39	1	12
Q91WT9-1_40_557_4pcu.1.A_swissmodel_CYT_PLP_2.dlg	-11.12	75	-10.49	58	-5.4	75	-6.61	58	-6.63	68	-5.43	-7.55	95	3	8
Q6P6M7_23_466_3bca_pdb_CYT_PLP_1.dlg	-17.52	56	-17.18	77	-6.29	56	-5.71	77	-6.85	32	-5.6	-9.5	10	2	13
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_CYT_PLP_1.dlg	-10.46	4	-9.37	61	-6.13	4	-0.96	61	-2.27	46	-1.58	-6.13	4	5	7
Q71RI9-1_42_451_5veq.1.A_swissmodel_CYT_PLP_2.dlg	-17.49	1	-17.49	1	-8.18	1	-8.18	1	-8.85	26	-6.74	-9.71	16	1	41
Q9WUB3_11_836_2pyd.1.A_swissmodel_CYT_PLP_2.dlg	-12.18	95	-12.18	95	-6.09	95	-6.09	95	-7.26	32	-6.06	-7.66	96	1	22
P24288_21_385_2abj.1.A_swissmodel_CYT_PLP_2.dlg	-13.38	74	-12.06	4	-5.89	74	-3.75	4	-4.09	91	-3.39	-7.58	21	2	16
P50431_9_478_1rvu.1.A_swissmodel_CYT_PLP_1.dlg	-9.04	64	-8.51	38	-4.68	64	-5.32	38	-5.84	43	-4.68	-7.98	100	4	32
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_CYT_PLP_2.dlg	-12.77	57	-12.07	46	-5.19	57	-3.36	46	-3.78	7	-2.92	-6.26	51	2	6
Q8QZR1_64_442_3pdx_pdb_CYT_PLP_2.dlg	-12.66	49	-11.72	9	-3.56	49	-3.9	9	-5.0	88	-4.02	-9.65	83	2	13
O88533_1_467_1js6.1.A_swissmodel_CYT_PLP_1.dlg	-13.27	69	-12.12	97	-6.51	69	-3.96	97	-4.73	35	-3.92	-7.64	100	5	13
Q8BGT5_49_521_3ihj.1.A_swissmodel_CYT_PLP_1.dlg	-12.82	62	-12.82	62	-4.84	62	-4.84	62	-4.84	62	-3.75	-10.16	76	1	15
Q3UEG6_63_509_6fyq.1.A_swissmodel_CYT_PLP_2.dlg	-11.01	80	-9.89	22	-3.53	80	-3.4	22	-3.58	77	-2.94	-7.41	82	3	8
Q3UX83-2_105_524_1m4n.1.A_swissmodel_CYT_PLP_1.dlg	-13.47	17	-13.06	53	-4.72	17	-5.67	53	-5.67	53	-4.57	-6.96	67	4	13
Q71RI9-2_7_416_5veq.1.A_swissmodel_CYT_PLP_2.dlg	-18.07	53	-18.07	53	-7.33	53	-7.33	53	-8.5	40	-6.41	-10.3	19	1	39
A2AIG8-1_37_482_4n0b.2.B_swissmodel_CYT_PLP_2.dlg	-13.86	22	-13.74	96	-6.25	22	-5.42	96	-7.23	15	-6.37	-8.52	84	3	12
Q80WP8-2_63_477_5hsj.1.A_swissmodel_CYT_PLP_2.dlg	-12.56	69	-11.02	27	-4.75	69	-4.87	27	-5.86	60	-4.46	-6.74	100	14	13
Q8BWU8_9_436_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	-14.46	84	-14.46	84	-6.6	84	-6.6	84	-7.08	18	-6.2	-9.7	96	1	7
Q80WP8-2_59_493_6enz.1.A_swissmodel_CYT_PLP_1.dlg	-10.72	32	-7.26	68	-5.65	32	-6.07	68	-6.24	30	-6.04	-7.29	41	37	5
Q3UEG6_52_507_4atp.1.A_swissmodel_CYT_PLP_2.dlg	-8.18	88	-6.87	26	-7.5	88	-5.72	26	-5.72	26	-2.15	-7.88	74	2	18
Q91W43_57_1010_6i34.1.A_swissmodel_CYT_PLP_1.dlg	-7.94	54	-6.85	80	-5.95	54	-6.56	80	-6.56	80	-3.66	-6.56	80	6	21
Q3UX83-2_102_522_6d0a.1.A_swissmodel_CYT_PLP_1.dlg	-9.75	29	-9.13	24	-6.29	29	-6.39	24	-7.23	12	-5.83	-7.23	12	2	16
Q6P6M7_23_466_3bca_pdb_CYT_PLP_2.dlg	-17.12	14	-17.12	14	-5.87	14	-5.87	14	-6.25	75	-5.53	-9.62	27	1	11
P05202_30_430_3hlm_pdb_CYT_PLP_1.dlg	-15.01	96	-15.01	96	-5.12	96	-5.12	96	-6.3	52	-4.69	-9.59	40	1	18
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_2.dlg	-16.98	27	-16.03	48	-4.89	27	-6.89	48	-8.53	34	-7.36	-9.55	97	3	10
Q8VC19_199_634_6hrh.1.B_swissmodel_CYT_PLP_1.dlg	-14.39	89	-14.11	24	-5.56	89	-6.98	24	-8.17	27	-5.99	-8.96	99	2	42
P05202_30_430_3pdb_pdb_CYT_PLP_1.dlg	-15.23	11	-15.23	11	-4.32	11	-4.32	11	-5.05	67	-4.34	-10.07	45	1	31
P05202_32_430_1ama.1.A_swissmodel_CYT_PLP_2.dlg	-15.05	82	-12.7	56	-8.0	82	-7.94	56	-8.38	15	-5.82	-8.59	89	3	37
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_CYT_PLP_2.dlg	-11.26	11	-10.53	77	-6.69	11	-7.85	77	-7.85	77	-5.75	-7.85	77	2	20
P50431_9_478_1rvu.1.A_swissmodel_CYT_PLP_3.dlg	-9.9	84	-9.9	84	-7.58	84	-7.58	84	-7.58	84	-5.78	-7.6	78	1	32
Q8QZR5_20_495_3tcm.1.A_swissmodel_CYT_PLP_1.dlg	-8.91	56	-8.91	56	-4.52	56	-4.52	56	-5.88	23	-3.13	-5.88	23	1	31
P48318_92_593_2okj.1.A_swissmodel_CYT_PLP_1.dlg	-12.47	51	-10.85	33	-6.19	51	-5.31	33	-6.81	7	-5.28	-7.45	52	2	16
P50431_1_478_1eji_pdb_CYT_PLP_3.dlg	-14.35	59	-14.35	59	-8.36	59	-8.36	59	-9.08	41	-7.44	-9.36	76	1	25
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_CYT_PLP_2.dlg	-9.74	88	-9.74	88	-4.43	88	-4.43	88	-4.71	22	-3.52	-5.7	13	1	16
O35423-1_27_412_3kgx_pdb_CYT_PLP_2.dlg	-12.89	36	-12.32	54	-6.88	36	-7.17	54	-8.15	37	-6.53	-8.15	37	5	18
Q9Z2Y8_12_248_1b54.1.A_swissmodel_CYT_PLP_1.dlg	-12.05	30	-11.84	9	-4.53	30	-4.92	9	-5.89	56	-4.84	-7.06	26	4	9
Q71RI9-1_42_451_3e2z_pdb_CYT_PLP_1.dlg	-16.32	51	-16.32	51	-8.86	51	-8.86	51	-9.33	96	-7.37	-11.07	1	1	15
Q6P6M7_23_467_3bcb.1.A_swissmodel_CYT_PLP_4.dlg
Q71RI9-1_42_451_5ver_pdb_CYT_PLP_1.dlg	-17.08	10	-17.08	10	-8.28	10	-8.28	10	-9.3	9	-7.15	-10.17	29	1	21
Q6P6M7_23_467_3bcb.1.A_swissmodel_CYT_PLP_2.dlg	-15.51	98	-15.51	98	-7.57	98	-7.57	98	-8.25	4	-6.56	-9.25	83	1	18
Q6P6M7_23_466_3bca_pdb_CYT_PLP_4.dlg
P00860_7_427_1d7k.1.A_swissmodel_CYT_PLP_1.dlg	-12.84	25	-11.83	62	-6.68	25	-5.3	62	-5.47	54	-4.36	-9.72	6	3	9
Q71RI9-1_42_451_5ver_pdb_CYT_PLP_3.dlg	-16.44	23	-15.04	45	-7.62	23	-9.39	45	-10.25	19	-9.02	-10.25	19	2	19
O35423-1_23_412_3kgw.1.A_swissmodel_CYT_PLP_2.dlg	-11.93	40	-11.42	73	-8.18	40	-7.07	73	-7.36	98	-5.93	-8.89	9	2	34
Q9CXF0_6_460_3e9k.1.A_swissmodel_CYT_PLP_1.dlg	-11.26	79	-11.26	79	-7.1	79	-7.1	79	-7.55	96	-6.27	-7.55	96	1	17
P50431_9_478_1rvu.1.A_swissmodel_CYT_PLP_4.dlg
Q14CH1_35_495_5j8q.1.A_swissmodel_CYT_PLP_1.dlg	-11.7	83	-10.01	44	-2.98	83	-5.72	44	-6.28	94	-5.09	-6.46	68	3	15
Q71RI9-1_42_451_5vep_pdb_CYT_PLP_4.dlg
Q8VBT2_1_325_1pwh.2.A_swissmodel_CYT_PLP_1.dlg	-13.1	18	-12.25	5	-4.8	18	-6.93	5	-8.18	70	-5.8	-9.04	72	2	20
A2AIG8-1_64_482_1m4n.1.A_swissmodel_CYT_PLP_1.dlg	-12.58	72	-11.92	56	-6.76	72	-4.46	56	-5.66	96	-3.72	-6.76	72	5	12
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_CYT_PLP_2.dlg	-14.72	78	-14.72	78	-4.32	78	-4.32	78	-5.81	34	-3.86	-8.39	69	1	12
Q6P6M7_23_467_3bc8_pdb_CYT_PLP_3.dlg	-16.1	100	-16.1	100	-6.81	100	-6.81	100	-6.95	87	-5.57	-7.15	45	1	15
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_CYT_PLP_1.dlg	-11.19	94	-10.45	29	-7.14	94	-7.35	29	-8.12	62	-6.13	-8.52	10	2	30
Q6XPS7_39_398_1lw4.1.D_swissmodel_CYT_PLP_2.dlg	-7.32	94	-6.9	38	-5.12	94	-4.36	38	-5.49	33	-2.45	-7.76	17	2	17
Q71RI9-1_42_451_3e2y_pdb_CYT_PLP_1.dlg	-17.95	95	-17.95	95	-6.77	95	-6.77	95	-8.95	69	-6.74	-11.29	63	1	28
P00860_2_418_7odc_pdb_CYT_PLP_2.dlg	-14.73	72	-12.9	9	-7.53	72	-10.5	9	-11.06	91	-8.93	-11.06	91	4	10
P05202_30_430_3pd6_pdb_CYT_PLP_2.dlg	-15.73	4	-14.61	54	-5.2	4	-4.12	54	-5.47	52	-4.58	-10.58	94	3	18
