TYR	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P11216_22_840_5iko.1.A_swissmodel_TYR_PLP_3.dlg	-12.86	17	-11.88	21	-6.87	17	-5.81	21	-5.92	19	-4.84	-7.04	38	3	26
P22557_151_541_2bwp.1.A_swissmodel_TYR_PLP_1.dlg	-8.38	31	-8.11	72	-4.93	31	-5.52	72	-5.72	17	-4.59	-5.81	23	2	22
Q8N5Z0_1_425_4gdy_pdb_TYR_PLP_1.dlg	-13.26	96	-12.83	52	-5.9	96	-5.07	52	-5.62	79	-4.89	-8.77	68	3	39
Q8NHS2_5_399_3wzf.1.A_swissmodel_TYR_PLP_1.dlg	-12.93	9	-12.93	9	-7.38	9	-7.38	9	-7.46	92	-6.35	-7.46	92	1	23
P04181_36_439_2byj.1.A_swissmodel_TYR_PLP_1.dlg	-10.68	87	-9.08	25	-5.97	87	-6.02	25	-6.15	37	-5.94	-6.87	100	6	16
Q8IYQ7_1kl7.1.A_227_740_TYR_PLP_1.dlg	-10.15	32	-10.15	32	-4.88	32	-4.88	32	-5.2	31	-4.71	-7.22	59	1	47
Q9HD40_19_462_4zdl.1.A_swissmodel_TYR_PLP_3.dlg	-14.9	38	-14.29	8	-7.78	38	-7.04	8	-7.05	55	-6.64	-8.14	12	3	20
Q9BYV1_52_496_5g4i.1.A_swissmodel_TYR_PLP_1.dlg	-9.85	72	-8.96	75	-6.04	72	-5.42	75	-5.5	38	-5.35	-6.33	22	9	9
O15382_28_392_5cr5_pdb_TYR_PLP_2.dlg	-13.67	91	-13.67	91	-6.21	91	-6.21	91	-6.45	71	-5.67	-8.09	16	1	35
Q8N5Z0_1_425_4ge4_pdb_TYR_PLP_1.dlg	-16.05	48	-16.05	48	-6.86	48	-6.86	48	-7.19	65	-6.23	-8.72	10	1	63
P21549_1_392_4i8a_pdb_TYR_PLP_2.dlg	-9.21	11	-9.21	11	-5.35	11	-5.35	11	-5.54	55	-4.05	-5.61	74	1	22
P04181_38_439_1gbn_pdb_TYR_PLP_3.dlg	-10.7	58	-10.29	14	-6.13	58	-5.17	14	-5.34	3	-4.95	-7.5	16	2	20
Q9HD40_1_501_4zdo_pdb_TYR_PLP_3.dlg	-11.97	88	-11.97	88	-5.69	88	-5.69	88	-5.95	35	-5.23	-7.47	60	1	37
P04181_38_439_1gbn_pdb_TYR_PLP_2.dlg	-10.56	7	-9.38	89	-4.85	7	-6.36	89	-6.64	68	-6.07	-6.86	84	7	34
P21549_1_392_1j04_pdb_TYR_PLP_2.dlg	-12.56	92	-12.56	92	-6.65	92	-6.65	92	-7.63	71	-6.36	-7.87	99	1	36
P0DN79_43_545_4pcu.1.A_swissmodel_TYR_PLP_2.dlg	-9.93	2	-8.92	79	-7.14	2	-7.27	79	-7.32	25	-6.59	-7.32	25	4	26
O15382_28_392_5i5y_pdb_TYR_PLP_1.dlg	-13.27	41	-12.1	56	-5.59	41	-5.31	56	-5.96	63	-5.46	-8.22	3	5	25
P11926_1_461_2on3_pdb_TYR_PLP_2.dlg	-9.81	29	-9.34	95	-6.54	29	-6.68	95	-6.76	12	-6.46	-6.76	12	2	12
Q8N5Z0_1_425_5efs_pdb_TYR_PLP_2.dlg	-13.81	96	-13.52	33	-5.6	96	-4.88	33	-6.07	31	-5.3	-8.9	36	2	45
P00505_30_430_5ax8_pdb_TYR_PLP_2.dlg	-15.48	45	-15.48	45	-6.26	45	-6.26	45	-6.55	80	-5.58	-9.59	24	1	19
Q99259_93_593_2okj.1.A_swissmodel_TYR_PLP_2.dlg	-12.19	51	-10.15	90	-5.95	51	-5.46	90	-6.45	41	-5.39	-6.69	58	3	15
P34897_43_504_4pvf.1.A_swissmodel_TYR_PLP_4.dlg	-9.51	36	-8.36	37	-6.02	36	-5.61	37	-6.29	53	-5.81	-6.29	53	3	13
P21549_1_392_4kxk_pdb_TYR_PLP_2.dlg	-7.02	61	-7.02	61	-4.28	61	-4.28	61	-4.28	61	-2.41	-4.59	88	1	24
P06737_2_847_2ati_pdb_TYR_PLP_2.dlg	-11.86	59	-11.82	45	-6.49	59	-6.35	45	-6.92	2	-6.28	-7.43	83	2	21
P06737_1_847_1l5s_pdb_TYR_PLP_2.dlg	-12.24	8	-12.24	8	-6.91	8	-6.91	8	-7.36	93	-6.79	-7.36	93	1	29
O75600_24_417_2jg2.1.A_swissmodel_TYR_PLP_1.dlg	-10.34	68	-10.34	68	-6.46	68	-6.46	68	-6.51	39	-6.21	-6.57	1	1	15
Q05329_88_584_2okk.1.A_swissmodel_TYR_PLP_2.dlg	-10.22	1	-9.91	48	-7.25	1	-4.57	48	-5.67	79	-4.88	-7.26	27	3	20
O75600_41_418_3tqx.1.A_swissmodel_TYR_PLP_1.dlg	-12.13	97	-12.13	97	-7.8	97	-7.8	97	-7.84	34	-7.22	-7.84	34	1	46
P06737_1_847_1l5q_pdb_TYR_PLP_3.dlg	-12.85	63	-12.85	63	-6.26	63	-6.26	63	-6.77	98	-6.04	-8.07	30	1	14
Q9Y617_17_370_3e77.1.A_swissmodel_TYR_PLP_2.dlg	-11.46	82	-10.82	6	-7.65	82	-7.02	6	-7.29	25	-6.83	-7.74	96	4	24
Q8NHS2_5_399_3wzf.1.A_swissmodel_TYR_PLP_2.dlg	-11.09	57	-11.09	57	-6.91	57	-6.91	57	-6.91	57	-5.72	-6.91	57	1	11
O15382_28_392_1kt8_pdb_TYR_PLP_2.dlg	-14.14	90	-14.14	90	-7.05	90	-7.05	90	-7.1	66	-6.35	-8.44	73	1	61
P06737_1_847_1l7x_pdb_TYR_PLP_1.dlg	-12.77	44	-11.15	50	-6.44	44	-6.89	50	-7.04	69	-6.61	-7.04	69	5	26
P17174_2_413_3wzf_pdb_TYR_PLP_1.dlg	-13.13	78	-11.5	94	-6.18	78	-5.12	94	-5.24	42	-4.78	-7.83	73	7	16
Q9HD40_19_462_4zdl.1.A_swissmodel_TYR_PLP_2.dlg	-16.04	14	-16.04	14	-7.88	14	-7.88	14	-8.0	79	-7.74	-8.09	10	1	26
P21549_1_392_4cbs_pdb_TYR_PLP_2.dlg	-10.51	80	-10.51	80	-5.15	80	-5.15	80	-5.41	29	-4.16	-7.29	42	1	42
Q8N5Z0_1_425_4ge4_pdb_TYR_PLP_2.dlg	-15.08	91	-15.08	91	-6.47	91	-6.47	91	-6.98	18	-6.08	-8.42	38	1	40
P06737_2_847_1xoi_pdb_TYR_PLP_2.dlg	-13.58	8	-13.58	8	-7.71	8	-7.71	8	-7.78	35	-7.15	-7.78	35	1	29
O15382_28_392_5bwx_pdb_TYR_PLP_2.dlg	-14.04	100	-13.84	30	-6.74	100	-6.4	30	-7.09	91	-5.86	-8.28	45	2	44
P06737_1_847_2zb2_pdb_TYR_PLP_2.dlg	-12.57	52	-11.38	71	-7.09	52	-6.13	71	-6.36	31	-5.87	-7.3	16	3	16
Q16773_1_422_4wlj_pdb_TYR_PLP_1.dlg	-14.81	85	-14.81	85	-6.77	85	-6.77	85	-7.32	63	-6.42	-7.92	76	1	79
Q8N5Z0_1_425_5tf5_pdb_TYR_PLP_1.dlg	-13.09	71	-13.01	52	-5.58	71	-4.77	52	-6.05	17	-5.02	-6.32	29	2	57
Q9HD40_1_501_4zdl_pdb_TYR_PLP_2.dlg	-14.31	73	-14.31	73	-7.24	73	-7.24	73	-7.39	19	-7.05	-7.52	61	1	28
O15382_28_392_5hne_pdb_TYR_PLP_1.dlg	-13.69	29	-13.69	29	-6.17	29	-6.17	29	-6.41	99	-5.62	-8.28	26	1	21
P32929_1_405_3elp_pdb_TYR_PLP_2.dlg	-9.33	8	-9.13	33	-5.24	8	-5.62	33	-5.97	67	-5.59	-6.47	44	3	8
Q9HD40_1_501_4zdl_pdb_TYR_PLP_1.dlg	-12.31	24	-12.04	59	-6.1	24	-6.07	59	-6.17	58	-5.75	-7.51	55	4	17
P04181_1_439_2byl_pdb_TYR_PLP_2.dlg	-9.6	3	-8.26	45	-4.91	3	-6.16	45	-6.41	43	-6.13	-6.59	42	8	17
Q9NUV7_155_530_2x8u.1.A_swissmodel_TYR_PLP_1.dlg	-9.56	59	-9.02	92	-5.06	59	-3.91	92	-4.43	75	-3.77	-7.24	24	5	28
P06737_24_832_3ceh_pdb_TYR_PLP_2.dlg	-12.06	3	-12.06	3	-6.74	3	-6.74	3	-7.11	49	-6.45	-7.11	49	1	17
P17174_2_413_3wzf.1.A_swissmodel_TYR_PLP_2.dlg	-12.16	36	-11.07	26	-4.85	36	-5.12	26	-5.4	4	-5.02	-8.79	66	6	17
O15382_28_392_5i5u_pdb_TYR_PLP_2.dlg	-14.31	56	-14.25	23	-7.28	56	-8.07	23	-8.07	23	-6.26	-8.81	2	2	42
P34897_22_504_4pvf_pdb_TYR_PLP_3.dlg	-10.5	11	-10.5	11	-6.04	11	-6.04	11	-6.56	6	-5.76	-7.07	48	1	42
Q9Y697_56_457_5usr.1.A_swissmodel_TYR_PLP_1.dlg	-9.13	81	-9.07	92	-4.07	81	-5.89	92	-6.17	8	-5.67	-6.4	7	2	25
O15382_28_392_5i5w_pdb_TYR_PLP_1.dlg	-13.85	8	-13.85	8	-6.68	8	-6.68	8	-6.68	8	-5.89	-7.69	38	1	21
Q9HD40_1_501_4zdl_pdb_TYR_PLP_3.dlg	-13.21	48	-13.21	48	-4.75	48	-4.75	48	-5.54	42	-4.72	-7.51	95	1	17
P04181_38_439_2can_pdb_TYR_PLP_2.dlg	-10.63	78	-9.86	11	-7.3	78	-5.46	11	-5.46	11	-4.67	-7.3	78	5	43
P32929_1_402_2nmp_pdb_TYR_PLP_4.dlg	-10.23	94	-5.94	3	-4.82	94	-5.53	3	-6.16	5	-4.78	-7.48	4	7	18
P54687_1_386_2coi_pdb_TYR_PLP_2.dlg	-13.76	8	-13.76	8	-6.72	8	-6.72	8	-6.82	67	-5.91	-7.69	13	1	64
P11926_1_461_5bwa_pdb_TYR_PLP_1.dlg	-12.06	22	-11.6	67	-6.2	22	-5.03	67	-5.43	23	-4.42	-7.69	55	3	28
Q8N5Z0_1_425_5efs_pdb_TYR_PLP_1.dlg	-13.85	92	-13.85	92	-5.56	92	-5.56	92	-5.88	26	-5.22	-8.9	6	1	51
P06737_1_847_1exv_pdb_TYR_PLP_2.dlg	-13.11	51	-11.78	18	-6.75	51	-6.29	18	-7.24	74	-6.62	-7.36	73	2	28
Q9NUV7_105_529_4bmk.1.A_swissmodel_TYR_PLP_2.dlg	-13.2	4	-13.2	4	-6.18	4	-6.18	4	-6.48	10	-5.72	-6.55	28	1	61
P06737_6_839_1fa9.1.A_swissmodel_TYR_PLP_1.dlg	-13.23	35	-13.23	35	-6.39	35	-6.39	35	-6.61	74	-6.19	-7.31	53	1	45
P04181_1_439_1oat_pdb_TYR_PLP_2.dlg	-9.48	7	-8.93	38	-5.1	7	-6.41	38	-6.95	23	-6.39	-6.95	23	3	26
P34897_22_504_4pvf_pdb_TYR_PLP_1.dlg	-10.69	22	-8.04	53	-6.17	22	-5.8	53	-5.8	53	-4.32	-6.51	47	7	15
P06737_1_847_1l5q_pdb_TYR_PLP_4.dlg	-12.6	76	-11.45	40	-6.36	76	-6.73	40	-6.93	63	-6.48	-7.26	21	3	23
Q9Y617_17_370_3e77_pdb_TYR_PLP_1.dlg	-11.52	73	-10.56	63	-8.35	73	-4.09	63	-4.32	35	-3.94	-8.39	54	3	17
P06737_1_847_1l5s_pdb_TYR_PLP_4.dlg	-11.98	15	-11.95	5	-5.73	15	-7.0	5	-7.27	86	-6.55	-7.27	86	2	34
Q9Y600_7_493_2jis.1.A_swissmodel_TYR_PLP_1.dlg	-9.91	52	-9.91	52	-6.49	52	-6.49	52	-6.52	35	-6.33	-6.72	71	1	15
Q6YP21_41_450_3e2y.1.A_swissmodel_TYR_PLP_2.dlg	-16.22	100	-16.22	100	-7.3	100	-7.3	100	-7.5	32	-6.47	-9.12	53	1	45
P17174_14_412_3ii0_pdb_TYR_PLP_1.dlg	-13.5	11	-13.12	76	-5.59	11	-5.96	76	-6.2	50	-4.87	-6.98	45	2	41
P20132_1_328_1p5j_pdb_TYR_PLP_1.dlg	-13.67	32	-13.67	32	-6.6	32	-6.6	32	-7.04	86	-5.86	-8.08	88	1	29
P20711_1_480_3rch_pdb_TYR_PLP_1.dlg	-7.82	10	-7.33	27	-3.77	10	-5.45	27	-5.75	52	-5.26	-6.38	84	7	16
P06737_1_847_1l5q_pdb_TYR_PLP_2.dlg	-13.01	47	-11.35	37	-6.86	47	-7.22	37	-7.22	37	-6.51	-7.87	79	3	21
Q05329_168_585_4obv.1.A_swissmodel_TYR_PLP_1.dlg	-10.61	52	-10.61	52	-4.85	52	-4.85	52	-5.11	75	-4.61	-7.33	7	1	15
O15270_112_537_4bmk.1.A_swissmodel_TYR_PLP_1.dlg	-12.23	10	-12.23	10	-6.33	10	-6.33	10	-6.44	50	-5.81	-6.44	50	1	88
P06737_1_847_1l5r_pdb_TYR_PLP_2.dlg	-11.9	41	-11.68	70	-7.08	41	-7.0	70	-7.25	17	-6.63	-7.42	60	3	32
O95470_111_553_4q6r.1.A_swissmodel_TYR_PLP_2.dlg	-12.33	25	-12.33	25	-7.14	25	-7.14	25	-7.15	13	-6.67	-7.16	20	1	42
P34897_17_504_3ou5_pdb_TYR_PLP_2.dlg	-7.72	10	-7.72	10	-5.03	10	-5.03	10	-5.15	18	-4.18	-5.35	70	1	6
O15382_28_392_1ekp_pdb_TYR_PLP_2.dlg	-13.31	78	-13.31	78	-6.42	78	-6.42	78	-6.46	91	-5.95	-7.41	53	1	49
P06737_2_847_1fc0_pdb_TYR_PLP_1.dlg	-12.38	96	-12.38	96	-2.82	96	-2.82	96	-3.46	59	-2.89	-7.39	83	1	26
Q8N5Z0_1_425_2xh1_pdb_TYR_PLP_1.dlg	-12.88	97	-12.88	97	-5.26	97	-5.26	97	-5.73	26	-4.95	-8.06	86	1	21
P11926_2_421_4zgy_pdb_TYR_PLP_1.dlg	-10.94	54	-8.58	100	-5.39	54	-4.48	100	-4.97	73	-4.29	-6.91	64	16	15
Q9Y617_17_370_3e77_pdb_TYR_PLP_2.dlg	-11.55	68	-11.29	34	-8.05	68	-7.81	34	-8.48	35	-7.94	-8.83	6	4	12
P34896_8_483_1eji.1.D_swissmodel_TYR_PLP_2.dlg	-10.31	65	-8.92	17	-6.66	65	-6.54	17	-6.54	17	-5.79	-6.66	65	3	26
P80404_39_499_4y0d.1.A_swissmodel_TYR_PLP_1.dlg	-12.09	90	-12.09	90	-6.11	90	-6.11	90	-6.78	58	-6.2	-6.92	64	1	55
Q8N5Z0_1_425_2r2n_pdb_TYR_PLP_1.dlg	-14.84	68	-14.84	68	-5.37	68	-5.37	68	-5.74	62	-5.18	-8.46	36	1	34
Q9HD40_1_501_3hl2_pdb_TYR_PLP_4.dlg	-13.62	80	-13.43	8	-6.8	80	-6.64	8	-6.79	75	-6.19	-7.99	55	3	22
P32929_1_402_3cog_pdb_TYR_PLP_3.dlg	-6.5	42	0.26	32	-3.06	42	-2.83	32	-4.77	79	-3.13	-7.8	44	10	20
O15382_28_392_5i5v_pdb_TYR_PLP_2.dlg	-13.48	71	-11.8	77	-6.07	71	-5.49	77	-5.54	84	-5.0	-8.26	38	8	22
Q9Y617_17_370_3e77.1.A_swissmodel_TYR_PLP_1.dlg	-12.88	91	-12.88	91	-6.66	91	-6.66	91	-6.97	35	-6.36	-8.09	36	1	22
Q16719_6_460_2hzp.1.A_swissmodel_TYR_PLP_1.dlg	-9.02	34	-8.39	21	-4.0	34	-3.18	21	-3.86	30	-3.1	-6.7	99	2	20
P20132_1_328_4h27_pdb_TYR_PLP_1.dlg	-11.55	38	-9.54	64	-6.54	38	-5.67	64	-5.86	86	-5.2	-7.53	23	11	16
P04181_36_439_2byj.1.A_swissmodel_TYR_PLP_2.dlg	-10.04	36	-9.94	82	-6.01	36	-4.97	82	-5.43	38	-4.79	-6.72	81	2	30
P00505_30_430_5ax8_pdb_TYR_PLP_1.dlg	-12.33	87	-12.33	87	-8.05	87	-8.05	87	-8.08	31	-7.84	-8.39	49	1	23
P54687_21_386_2abj.1.A_swissmodel_TYR_PLP_2.dlg	-10.84	83	-10.84	83	-6.08	83	-6.08	83	-6.29	13	-5.78	-6.63	69	1	21
Q16773_1_422_4wlj_pdb_TYR_PLP_2.dlg	-15.19	4	-15.19	4	-7.0	4	-7.0	4	-7.42	97	-6.63	-8.2	41	1	73
P17735_41_444_3dyd.1.A_swissmodel_TYR_PLP_2.dlg	-10.75	81	-9.0	78	-6.85	81	-5.16	78	-5.6	32	-5.16	-7.12	89	5	20
Q86YJ6_1_470_1kl7.1.A_swissmodel_TYR_PLP_1.dlg	-11.13	10	-10.55	34	-5.43	10	-4.58	34	-5.08	39	-3.94	-7.27	56	2	29
P0DN79_41_550_4l3v.1.A_swissmodel_TYR_PLP_2.dlg	-3.06	57	-0.19	53	-3.81	57	-1.94	53	-3.4	21	-0.48	-5.03	95	4	16
P21549_6_392_3r9a.1.A_swissmodel_TYR_PLP_2.dlg	-11.14	61	-8.83	9	-5.85	61	-6.24	9	-6.97	67	-5.6	-7.57	48	3	29
P06737_1_847_1l5r_pdb_TYR_PLP_4.dlg	-12.43	6	-12.43	6	-6.88	6	-6.88	6	-7.12	67	-6.52	-7.12	67	1	34
Q16773_1_422_3fvx_pdb_TYR_PLP_1.dlg	-12.47	28	-12.47	28	-5.7	28	-5.7	28	-6.69	71	-6.04	-6.94	5	1	52
P06737_24_832_3cej_pdb_TYR_PLP_1.dlg	-12.83	10	-11.03	34	-7.93	10	-6.29	34	-6.31	4	-5.87	-8.16	70	5	17
P06737_24_832_3cem_pdb_TYR_PLP_2.dlg	-13.49	9	-12.09	44	-7.09	9	-7.33	44	-7.57	40	-7.01	-7.57	40	3	30
Q4AC99_168_554_3ath.1.A_swissmodel_TYR_PLP_1.dlg	-9.7	53	-9.48	58	-5.34	53	-5.22	58	-5.41	80	-5.04	-6.78	86	3	16
Q16773_1_422_1w7l_pdb_TYR_PLP_2.dlg	-13.32	32	-13.32	32	-6.68	32	-6.68	32	-6.72	60	-5.86	-7.1	49	1	37
Q16773_1_422_1w7l_pdb_TYR_PLP_1.dlg	-13.21	97	-13.21	97	-6.55	97	-6.55	97	-6.58	66	-5.75	-7.52	83	1	29
P32929_1_402_2nmp_pdb_TYR_PLP_1.dlg	-9.85	51	-9.85	51	-5.42	51	-5.42	51	-5.42	51	-3.77	-8.39	99	1	27
O15382_28_392_2hdk_pdb_TYR_PLP_1.dlg	-13.3	77	-13.3	77	-6.33	77	-6.33	77	-6.36	42	-5.54	-7.62	21	1	48
P21549_1_392_4cbr_pdb_TYR_PLP_1.dlg	-11.66	80	-11.66	80	-6.82	80	-6.82	80	-7.03	53	-5.65	-7.03	53	1	30
P06737_1_847_1l5q_pdb_TYR_PLP_1.dlg	-13.07	29	-11.91	44	-6.54	29	-7.82	44	-7.94	27	-7.07	-7.94	27	3	18
Q16773_1_422_4wlh_pdb_TYR_PLP_2.dlg	-12.19	68	-12.19	68	-4.98	68	-4.98	68	-6.24	92	-5.31	-6.24	92	1	39
P22557_151_541_2bwp.1.A_swissmodel_TYR_PLP_2.dlg	-9.18	87	-7.96	48	-6.4	87	-5.36	48	-5.36	48	-4.29	-6.63	88	3	28
P04181_38_439_1gbn_pdb_TYR_PLP_4.dlg	-10.41	97	-10.25	15	-5.72	97	-5.09	15	-5.19	66	-4.83	-7.12	54	3	33
Q9Y697_56_457_5usr.1.A_swissmodel_TYR_PLP_2.dlg	-11.64	24	-11.64	24	-6.19	24	-6.19	24	-6.8	4	-5.95	-6.92	58	1	16
Q9NUV7_105_529_4bmk.1.A_swissmodel_TYR_PLP_1.dlg	-13.33	40	-13.33	40	-6.17	40	-6.17	40	-6.77	25	-5.99	-6.77	25	1	95
Q96GA7_11_328_2rkb.1.A_swissmodel_TYR_PLP_1.dlg	-11.44	58	-11.42	77	-7.07	58	-5.31	77	-6.85	13	-5.6	-7.69	12	2	13
Q4AC99_168_554_3ath.1.A_swissmodel_TYR_PLP_2.dlg	-8.27	59	-7.64	87	-3.6	59	-3.25	87	-4.37	82	-3.34	-5.57	30	5	12
Q9BYV1_65_508_5g4i.1.A_swissmodel_TYR_PLP_1.dlg	-9.18	23	-9.18	23	-5.53	23	-5.53	23	-5.55	94	-5.22	-5.75	1	1	18
P17735_41_444_3dyd_pdb_TYR_PLP_2.dlg	-11.59	63	-8.28	5	-7.11	63	-4.92	5	-4.92	5	-4.66	-7.3	17	6	20
Q8N5Z0_2_425_2vgz_pdb_TYR_PLP_2.dlg	-14.17	27	-14.17	27	-6.01	27	-6.01	27	-6.02	65	-5.34	-7.46	74	1	80
P34897_22_504_4pvf_pdb_TYR_PLP_4.dlg	-10.54	39	-10.54	39	-6.59	39	-6.59	39	-6.7	93	-5.9	-6.7	93	1	28
P11926_7_427_1d7k.1.A_swissmodel_TYR_PLP_1.dlg	-10.59	25	-10.59	25	-6.43	25	-6.43	25	-6.43	25	-5.01	-6.97	51	1	25
Q9HD40_1_501_4zdo_pdb_TYR_PLP_2.dlg	-12.5	26	-12.5	26	-5.72	26	-5.72	26	-6.13	17	-5.2	-8.38	36	1	22
P11926_7_427_1d7k.1.A_swissmodel_TYR_PLP_2.dlg	-9.94	47	-8.91	53	-6.09	47	-4.48	53	-4.66	84	-4.32	-6.49	40	3	7
Q16773_1_422_1w7n_pdb_TYR_PLP_1.dlg	-16.6	66	-16.6	66	-6.57	66	-6.57	66	-6.87	42	-5.48	-7.78	71	1	79
P34896_8_483_1eji.1.D_swissmodel_TYR_PLP_1.dlg	-10.49	98	-10.42	81	-5.98	98	-6.7	81	-6.83	83	-5.82	-6.83	83	2	47
P54687_1_386_2coi_pdb_TYR_PLP_1.dlg	-12.95	75	-12.95	75	-6.12	75	-6.12	75	-6.48	28	-5.51	-8.25	72	1	74
O15382_28_392_2hgw_pdb_TYR_PLP_2.dlg	-14.34	18	-14.34	18	-7.48	18	-7.48	18	-7.66	98	-6.25	-8.67	51	1	46
Q8N5Z0_1_425_5tf5_pdb_TYR_PLP_2.dlg	-13.43	36	-13.14	15	-6.35	36	-5.47	15	-5.67	29	-5.35	-7.34	80	2	65
P11216_1_843_5iko_pdb_TYR_PLP_3.dlg	-13.56	74	-13.04	14	-7.27	74	-6.23	14	-6.35	64	-5.36	-7.7	82	2	26
Q16773_1_422_3fvs_pdb_TYR_PLP_2.dlg	-12.42	45	-12.42	45	-5.8	45	-5.8	45	-6.93	83	-6.08	-6.93	83	1	51
O15270_177_540_2bwp.1.A_swissmodel_TYR_PLP_2.dlg	-6.76	3	-6.34	27	-6.32	3	-4.12	27	-6.38	98	-3.92	-6.67	8	2	21
P04181_1_439_2oat_pdb_TYR_PLP_1.dlg	-11.26	41	-10.37	10	-7.13	41	-6.25	10	-6.25	10	-5.05	-7.13	41	4	18
P06737_24_832_3cej_pdb_TYR_PLP_2.dlg	-13.23	28	-11.52	22	-6.76	28	-7.31	22	-7.33	41	-6.66	-7.69	11	3	19
Q99259_93_593_2okj.1.A_swissmodel_TYR_PLP_1.dlg	-11.06	95	-10.16	29	-5.69	95	-6.76	29	-6.76	29	-6.14	-6.76	29	2	32
P06737_1_847_1em6_pdb_TYR_PLP_1.dlg	-12.85	64	-12.85	64	-7.65	64	-7.65	64	-7.65	64	-6.88	-7.65	64	1	23
Q8IUZ5_10_438_5g4i.1.A_swissmodel_TYR_PLP_2.dlg	-12.27	96	-12.01	21	-6.73	96	-8.0	21	-8.13	63	-7.52	-8.28	77	4	14
Q96QU6_55_475_1m7y.1.A_swissmodel_TYR_PLP_2.dlg	-11.22	25	-9.98	59	-5.66	25	-7.15	59	-7.53	87	-6.68	-7.56	81	2	16
Q8N5Z0_1_425_3ue8_pdb_TYR_PLP_2.dlg	-12.81	36	-12.81	36	-5.57	36	-5.57	36	-5.7	70	-5.01	-8.39	8	1	68
Q9GZT4_3_329_3l6r.1.A_swissmodel_TYR_PLP_2.dlg	-11.45	8	-11.45	8	-5.89	8	-5.89	8	-6.5	33	-5.6	-6.5	33	1	36
P17735_41_444_3dyd.1.A_swissmodel_TYR_PLP_1.dlg	-11.65	6	-8.42	41	-4.48	6	-4.74	41	-4.95	66	-4.75	-7.58	5	9	19
P04181_38_439_2can_pdb_TYR_PLP_1.dlg	-10.67	28	-9.65	53	-6.08	28	-5.27	53	-5.47	46	-4.74	-7.27	82	7	36
P32929_1_405_3elp_pdb_TYR_PLP_3.dlg	-10.2	38	-9.91	95	-5.14	38	-5.57	95	-6.29	64	-5.54	-6.69	6	4	9
Q9GZT4_1_340_3l6b_pdb_TYR_PLP_2.dlg	-11.97	14	-11.97	14	-6.26	14	-6.26	14	-6.7	11	-5.95	-6.97	57	1	36
P34896_8_483_1eji.1.D_swissmodel_TYR_PLP_3.dlg	-9.14	38	-7.64	5	-5.87	38	-5.66	5	-5.96	13	-4.67	-6.02	7	5	29
O15382_28_392_2hg8_pdb_TYR_PLP_1.dlg	-15.04	11	-15.04	11	-7.84	11	-7.84	11	-7.84	11	-6.44	-8.92	7	1	51
P11217_13_837_3zcp.1.A_swissmodel_TYR_PLP_1.dlg	-13.12	41	-13.12	41	-7.69	41	-7.69	41	-7.69	41	-7.33	-7.69	41	1	20
P11926_7_427_1d7k_pdb_TYR_PLP_2.dlg	-11.71	71	-10.93	33	-6.61	71	-6.37	33	-6.37	33	-4.91	-7.72	56	3	11
P04181_1_439_2oat_pdb_TYR_PLP_3.dlg	-10.16	78	-9.36	12	-5.85	78	-5.23	12	-5.52	18	-5.12	-6.28	56	4	49
P06737_1_847_1l5s_pdb_TYR_PLP_3.dlg	-11.89	5	-11.46	30	-7.29	5	-4.96	30	-5.86	92	-4.7	-7.42	99	3	21
Q96I15_29_444_3gzc.1.A_swissmodel_TYR_PLP_2.dlg	-8.87	100	-8.03	68	-5.87	100	-3.56	68	-3.61	32	-3.12	-6.14	75	4	26
Q6ZQY3_35_521_2jis.1.A_swissmodel_TYR_PLP_2.dlg	-11.71	76	-11.71	76	-6.19	76	-6.19	76	-6.57	32	-6.07	-7.4	74	1	35
Q9Y697_67_457_5kz5_pdb_TYR_PLP_3.dlg
O15382_28_392_5i60_pdb_TYR_PLP_2.dlg	-13.44	53	-12.04	12	-6.18	53	-5.78	12	-5.89	91	-5.11	-7.92	40	3	40
Q8N5Z0_1_425_4geb_pdb_TYR_PLP_2.dlg	-14.72	31	-14.72	31	-5.86	31	-5.86	31	-6.61	26	-5.82	-8.72	25	1	53
Q9HD40_1_501_3hl2_pdb_TYR_PLP_3.dlg	-13.69	92	-12.76	36	-7.26	92	-5.87	36	-7.03	72	-5.89	-7.41	55	3	18
Q8N5Z0_1_425_5eun_pdb_TYR_PLP_1.dlg	-12.26	99	-12.26	99	-2.52	99	-2.52	99	-3.5	78	-2.68	-8.21	38	1	35
P04181_1_439_2oat_pdb_TYR_PLP_4.dlg	-10.67	16	-9.42	64	-6.61	16	-5.4	64	-5.4	64	-4.64	-7.04	28	7	23
Q99259_93_594_2okj_pdb_TYR_PLP_2.dlg	-12.07	14	-12.07	14	-6.12	14	-6.12	14	-7.09	40	-6.3	-7.16	41	1	12
P20711_1_480_3rbf.1.B_swissmodel_TYR_PLP_2.dlg	-9.12	34	-9.12	34	-3.89	34	-3.89	34	-4.03	15	-3.5	-7.25	21	1	17
O15382_28_392_5bwr_pdb_TYR_PLP_2.dlg	-13.94	43	-12.1	63	-6.59	43	-5.66	63	-6.06	45	-5.68	-9.1	15	6	27
