GLU	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
O35484_8_435_3btn.1.A_swissmodel_GLU_PLP_1.dlg	-7.13	10	-5.7	51	-4.01	10	-4.15	51	-4.59	20	-3.7	-4.59	20	2	38
Q3UX83-2_102_522_6d0a.1.A_swissmodel_GLU_PLP_1.dlg	-10.72	14	-10.72	14	-7.36	14	-7.36	14	-7.36	14	-6.44	-7.36	14	1	24
Q80WP8-1_59_550_6enz_pdb_GLU_PLP_1.dlg	-9.85	64	-9.85	64	-6.71	64	-6.71	64	-6.73	20	-6.29	-6.73	20	1	20
Q6P6M7_23_467_3bcb.1.A_swissmodel_GLU_PLP_4.dlg	-14.55	1	-13.49	87	-8.87	1	-7.15	87	-7.22	76	-6.62	-9.46	41	5	18
Q8BH55_226_741_1kl7.1.A_swissmodel_GLU_PLP_1.dlg	-10.62	44	-9.7	38	-3.95	44	-7.12	38	-7.19	57	-6.46	-7.19	57	3	32
P24288_21_385_2abj.1.A_swissmodel_GLU_PLP_1.dlg	-10.02	79	-10.02	79	-5.28	79	-5.28	79	-5.71	81	-5.05	-7.39	82	1	31
Q71RI9-1_42_451_5vep_pdb_GLU_PLP_4.dlg	-10.39	23	-10.39	23	-6.63	23	-6.63	23	-6.63	23	-5.84	-6.63	23	1	35
Q9DBE0_7_493_2jis.1.A_swissmodel_GLU_PLP_1.dlg	-11.16	91	-9.93	93	-7.15	91	-4.36	93	-5.18	85	-4.16	-7.27	5	3	32
P29758_38_439_2can.1.A_swissmodel_GLU_PLP_2.dlg	-9.68	49	-9.68	49	-4.97	49	-4.97	49	-5.52	95	-4.63	-6.25	73	1	66
Q91WT9-2_40_543_4pcu.1.A_swissmodel_GLU_PLP_2.dlg	-8.21	34	-8.21	34	-5.35	34	-5.35	34	-5.75	87	-4.67	-6.87	67	1	28
P05202_30_430_3hlm_pdb_GLU_PLP_1.dlg	-13.83	22	-13.82	94	-6.74	22	-5.61	94	-6.85	68	-5.76	-9.5	54	2	36
Q8QZR1_64_442_3pdx.1.A_swissmodel_GLU_PLP_2.dlg	-10.15	12	-9.48	56	-5.6	12	-5.19	56	-6.22	100	-4.96	-6.41	93	2	42
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_2.dlg	-7.01	92	-6.47	70	-5.31	92	-4.18	70	-4.44	86	-3.65	-5.56	63	2	48
Q6P6M7_23_467_3bcb.1.A_swissmodel_GLU_PLP_1.dlg	-14.36	63	-13.59	32	-7.17	63	-6.97	32	-7.9	87	-6.95	-9.29	53	6	20
Q80WP8-2_68_523_2okj.1.A_swissmodel_GLU_PLP_1.dlg	-12.0	64	-11.57	92	-4.89	64	-7.28	92	-7.77	49	-6.27	-7.77	49	2	26
Q3UNZ2_26_422_1d7k.1.B_swissmodel_GLU_PLP_1.dlg	-9.61	90	-9.61	90	-4.36	90	-4.36	90	-4.64	34	-3.66	-6.53	75	1	37
Q6P6M7_23_467_3bc8_pdb_GLU_PLP_2.dlg	-15.4	98	-15.04	44	-10.73	98	-8.26	44	-8.26	44	-7.43	-10.73	98	3	39
Q71RI9-1_42_451_3e2z_pdb_GLU_PLP_2.dlg	-15.18	54	-15.18	54	-6.96	54	-6.96	54	-7.23	96	-6.09	-8.06	5	1	59
Q91WT9-1_40_557_4pcu.1.B_swissmodel_GLU_PLP_2.dlg	-8.67	71	-8.67	71	-6.07	71	-6.07	71	-6.52	95	-5.71	-6.73	29	1	40
P05202_32_430_1ama.1.A_swissmodel_GLU_PLP_1.dlg	-17.17	86	-17.17	86	-10.06	86	-10.06	86	-10.12	67	-8.48	-10.12	67	1	65
Q14CH1_48_490_3a9y.1.B_swissmodel_GLU_PLP_2.dlg	-6.33	39	-6.33	39	-3.4	39	-3.4	39	-3.4	39	-2.18	-4.16	100	1	39
Q91W43_57_1010_6i34.1.A_swissmodel_GLU_PLP_1.dlg	-7.23	73	-6.92	43	-2.31	73	-4.07	43	-4.07	43	-3.18	-5.02	39	2	14
Q8VBT2_5_317_2o2j.1.B_swissmodel_GLU_PLP_2.dlg	-9.52	32	-9.34	53	-5.04	32	-5.24	53	-5.47	31	-4.76	-6.38	42	3	29
Q8VCN5_9_398_5tsu.1.C_swissmodel_GLU_PLP_1.dlg	-10.39	9	-10.39	9	-4.79	9	-4.79	9	-5.69	65	-4.92	-7.24	87	1	77
Q9ET01_24_839_1xoi.1.A_swissmodel_GLU_PLP_1.dlg	-10.78	68	-10.78	68	-6.72	68	-6.72	68	-6.79	53	-5.7	-6.79	53	1	32
Q6XPS7_39_398_1lw4.1.D_swissmodel_GLU_PLP_1.dlg	-8.56	74	-7.73	92	-5.56	74	-4.99	92	-5.65	59	-4.61	-6.17	64	2	31
Q99K85_17_370_3e77.1.A_swissmodel_GLU_PLP_2.dlg	-11.9	40	-10.58	38	-7.77	40	-6.62	38	-7.06	61	-6.36	-7.86	20	4	14
Q80WP8-1_59_550_6enz_pdb_GLU_PLP_2.dlg	-10.86	82	-10.6	58	-6.14	82	-5.45	58	-5.9	91	-5.29	-6.49	44	3	22
Q6P6M7_23_467_3bc8_pdb_GLU_PLP_1.dlg	-15.03	65	-14.77	22	-7.57	65	-8.17	22	-8.33	46	-7.47	-10.22	50	2	42
P48320_88_584_2okk.1.A_swissmodel_GLU_PLP_2.dlg	-11.78	97	-11.78	97	-5.42	97	-5.42	97	-5.75	54	-5.01	-7.53	38	1	26
A2AIG8-1_64_482_1m4n.1.A_swissmodel_GLU_PLP_1.dlg	-10.29	7	-8.73	6	-7.42	7	-6.07	6	-6.59	81	-5.86	-7.42	7	6	26
O35855_29_393_1ekp.1.A_swissmodel_GLU_PLP_2.dlg	-12.05	38	-11.55	81	-5.39	38	-5.51	81	-5.66	58	-5.07	-8.08	11	2	42
Q9ET01_24_839_1xoi.1.A_swissmodel_GLU_PLP_2.dlg	-12.28	70	-12.28	70	-6.65	70	-6.65	70	-6.79	8	-6.0	-6.79	8	1	81
Q8VC19_199_634_6hrh.1.B_swissmodel_GLU_PLP_2.dlg	-12.63	33	-12.63	33	-6.72	33	-6.72	33	-6.89	46	-6.26	-6.89	46	1	99
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_GLU_PLP_1.dlg	-8.0	38	-7.28	48	-4.6	38	-5.66	48	-5.66	48	-4.79	-6.14	24	2	17
O35423-1_27_412_3kgw_pdb_GLU_PLP_1.dlg	-10.47	83	-10.47	83	-5.47	83	-5.47	83	-6.69	33	-4.99	-7.39	15	1	38
Q6XPS7_39_398_1lw4.1.D_swissmodel_GLU_PLP_2.dlg	-8.88	37	-5.44	83	-5.21	37	-3.49	83	-4.65	84	-3.75	-5.94	35	5	25
P00860_7_427_1d7k.1.A_swissmodel_GLU_PLP_2.dlg	-8.86	31	-8.86	31	-7.08	31	-7.08	31	-7.14	80	-6.6	-7.14	80	1	26
P05202_30_430_3pdb_pdb_GLU_PLP_1.dlg	-14.05	91	-12.03	88	-8.29	91	-5.57	88	-6.32	68	-5.55	-8.9	82	8	23
Q3UX83-2_105_524_1m4n.1.A_swissmodel_GLU_PLP_2.dlg	-11.17	99	-10.24	43	-6.14	99	-6.38	43	-7.31	61	-6.29	-7.32	31	4	21
Q71RI9-1_42_451_5ver_pdb_GLU_PLP_1.dlg	-14.45	63	-12.55	7	-8.1	63	-6.83	7	-7.91	60	-7.15	-8.79	69	4	49
Q8VC19_199_634_6hrh.1.B_swissmodel_GLU_PLP_1.dlg	-13.67	19	-13.67	19	-5.88	19	-5.88	19	-6.32	61	-5.55	-7.04	56	1	99
Q71RI9-1_42_451_2zjg_pdb_GLU_PLP_1.dlg	-11.64	32	-11.64	32	-6.81	32	-6.81	32	-7.09	15	-6.41	-7.68	61	1	20
Q8BWU8_9_436_5g4i.1.A_swissmodel_GLU_PLP_2.dlg	-14.68	27	-13.6	3	-7.99	27	-7.92	3	-8.3	11	-7.29	-8.55	13	2	30
Q8QZR5_20_495_3tcm.1.A_swissmodel_GLU_PLP_1.dlg	-12.16	56	-7.77	18	-6.68	56	-2.99	18	-3.0	74	-2.27	-6.91	97	3	63
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_GLU_PLP_2.dlg	-8.97	10	-8.67	23	-4.42	10	-4.91	23	-5.31	99	-4.45	-7.01	40	3	17
Q3UX83-1_157_576_1m4n.1.A_swissmodel_GLU_PLP_1.dlg	-10.28	78	-9.96	25	-6.14	78	-6.15	25	-6.15	25	-5.51	-6.99	73	4	13
Q71RI9-1_42_451_2zjg_pdb_GLU_PLP_2.dlg	-12.13	78	-12.13	78	-7.36	78	-7.36	78	-7.36	78	-6.63	-7.36	78	1	51
Q91WT9-1_40_557_4pcu.1.A_swissmodel_GLU_PLP_1.dlg	-9.63	7	-8.97	17	-3.41	7	-3.46	17	-3.94	35	-2.76	-7.38	98	2	33
P00860_2_418_7odc_pdb_GLU_PLP_2.dlg	-11.79	72	-11.79	72	-7.01	72	-7.01	72	-7.38	77	-6.82	-9.09	85	1	58
Q3UEG6_63_509_6fyq.1.A_swissmodel_GLU_PLP_2.dlg	-8.48	1	-7.64	84	-4.26	1	-5.02	84	-5.85	23	-5.33	-5.99	94	2	29
Q6P6M7_23_466_3bca_pdb_GLU_PLP_2.dlg	-15.49	51	-15.33	63	-10.04	51	-8.03	63	-9.32	72	-7.67	-10.11	98	2	53
P23738_17_484_4e1o.1.A_swissmodel_GLU_PLP_1.dlg	-12.25	58	-12.25	58	-5.89	58	-5.89	58	-6.14	89	-5.71	-6.14	89	1	93
Q7TSV6-1_3_399_2cst.1.A_swissmodel_GLU_PLP_2.dlg	-11.36	27	-11.32	34	-7.0	27	-5.95	34	-7.1	69	-5.81	-8.11	75	2	27
P00860_7_427_1d7k.1.A_swissmodel_GLU_PLP_1.dlg	-9.34	33	-9.02	14	-4.71	33	-4.09	14	-4.33	68	-3.45	-6.92	95	2	23
Q8R238_12_327_2rkb.1.A_swissmodel_GLU_PLP_2.dlg	-11.29	9	-9.59	14	-5.87	9	-4.33	14	-4.87	1	-4.62	-6.83	36	3	23
Q6P6M7_23_467_3bcb_pdb_GLU_PLP_4.dlg	-14.18	62	-13.7	88	-9.15	62	-6.8	88	-7.44	34	-6.79	-9.3	33	2	17
Q71RI9-1_42_451_3e2f_pdb_GLU_PLP_2.dlg	-13.07	81	-12.83	98	-7.37	81	-6.92	98	-7.2	71	-6.46	-7.38	36	2	44
Q71RI9-1_42_451_5ver_pdb_GLU_PLP_2.dlg	-15.79	75	-15.79	75	-7.74	75	-7.74	75	-7.74	75	-6.64	-8.29	80	1	38
Q80WP8-1_59_550_6enz.1.A_swissmodel_GLU_PLP_2.dlg	-11.37	86	-10.38	21	-6.66	86	-5.05	21	-5.24	61	-4.67	-6.87	17	2	29
A2AIG8-2_42_459_4n0b.2.B_swissmodel_GLU_PLP_2.dlg	-11.89	56	-11.89	56	-6.31	56	-6.31	56	-6.31	56	-5.41	-6.31	56	1	47
Q3UNZ2_26_422_1d7k.1.B_swissmodel_GLU_PLP_2.dlg	-10.01	32	-9.69	11	-4.72	32	-4.16	11	-4.6	81	-3.72	-6.9	16	2	26
Q8R0X7_110_553_4q6r.1.A_swissmodel_GLU_PLP_2.dlg	-12.46	100	-12.46	100	-7.21	100	-7.21	100	-7.32	98	-6.26	-7.49	66	1	52
