HIS	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q80W22_1_469_1kl7.1.A_swissmodel_HIS_PLP_1.dlg	-9.22	8	-9.22	8	-3.55	8	-3.55	8	-3.84	52	-3.39	-5.41	15	1	17
Q71RI9-1_42_451_5veq.1.A_swissmodel_HIS_PLP_2.dlg	-14.54	58	-14.54	58	-6.02	58	-6.02	58	-6.33	43	-5.25	-7.25	70	1	66
P61922-1_39_499_4zsy.1.A_swissmodel_HIS_PLP_1.dlg	-11.97	37	-11.89	18	-5.43	37	-3.92	18	-4.46	34	-3.73	-6.24	72	2	33
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_HIS_PLP_1.dlg	-8.8	14	-8.8	14	-3.44	14	-3.44	14	-3.65	77	-3.41	-5.38	11	1	18
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_2.dlg	-10.45	66	-10.45	66	-5.35	66	-5.35	66	-5.8	14	-5.07	-5.8	14	1	58
O88986_28_415_1fc4.1.A_swissmodel_HIS_PLP_1.dlg	-11.22	22	-11.22	22	-5.37	22	-5.37	22	-5.65	21	-4.76	-5.89	23	1	80
Q7TSV6-1_3_399_2cst.1.A_swissmodel_HIS_PLP_1.dlg	-11.4	43	-10.69	74	-5.9	43	-2.72	74	-4.84	33	-3.47	-5.9	43	4	21
O35423-1_27_412_3kgx_pdb_HIS_PLP_1.dlg	-10.81	28	-10.71	2	-4.6	28	-3.24	2	-3.46	66	-3.24	-5.14	96	2	26
Q7TSV6-1_3_399_2cst.1.A_swissmodel_HIS_PLP_2.dlg	-11.83	25	-10.2	24	-6.58	25	-5.22	24	-5.66	41	-5.02	-6.88	87	10	17
Q71RI9-1_42_451_3e2y_pdb_HIS_PLP_1.dlg	-15.62	6	-15.62	6	-6.38	6	-6.38	6	-6.38	6	-5.16	-8.22	60	1	52
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_4.dlg	-16.72	98	-16.72	98	-6.03	98	-6.03	98	-6.5	50	-5.18	-7.55	26	1	72
Q8QZR5_20_495_3tcm.1.A_swissmodel_HIS_PLP_1.dlg	-9.88	29	-9.88	29	-3.21	29	-3.21	29	-3.78	93	-2.56	-5.79	86	1	63
P08680_143_578_6hrh.1.B_swissmodel_HIS_PLP_1.dlg	-13.05	62	-13.05	62	-4.65	62	-4.65	62	-5.66	79	-4.56	-5.66	79	1	95
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_1.dlg	-9.08	57	-9.08	57	-4.03	57	-4.03	57	-5.19	3	-4.24	-5.19	3	1	76
P00860_2_418_7odc_pdb_HIS_PLP_2.dlg	-11.93	96	-11.62	30	-6.1	96	-7.39	30	-7.39	30	-6.84	-7.39	30	3	26
Q91WT9-1_39_559_4l28.1.A_swissmodel_HIS_PLP_2.dlg	-8.71	89	-7.59	100	-6.56	89	-3.66	100	-4.04	74	-2.59	-6.6	59	2	28
Q80WP8-2_59_493_6enz.1.A_swissmodel_HIS_PLP_2.dlg	-9.73	3	-9.67	35	-4.41	3	-4.63	35	-4.87	87	-3.9	-6.44	33	2	28
O35484_8_435_3btn.1.A_swissmodel_HIS_PLP_1.dlg	-7.7	100	-7.7	100	-3.12	100	-3.12	100	-3.67	43	-3.06	-4.56	56	1	22
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_2.dlg	-14.1	72	-14.1	72	-5.66	72	-5.66	72	-5.85	33	-5.24	-6.38	64	1	42
Q80WP8-2_63_477_5hsj.1.A_swissmodel_HIS_PLP_1.dlg	-9.67	87	-9.54	34	-4.12	87	-3.99	34	-4.48	9	-3.82	-5.07	38	3	12
P05202_32_430_1ama.1.A_swissmodel_HIS_PLP_1.dlg	-16.51	62	-16.51	62	-7.25	62	-7.25	62	-7.25	62	-6.45	-7.25	62	1	52
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_2.dlg	-6.68	72	-6.68	72	-3.1	72	-3.1	72	-3.26	54	-2.41	-4.63	79	1	14
P48318_92_593_2okj.1.A_swissmodel_HIS_PLP_1.dlg	-11.3	13	-9.05	69	-5.16	13	-4.82	69	-5.25	79	-4.47	-5.96	6	4	29
P05202_32_430_1ama.1.A_swissmodel_HIS_PLP_2.dlg	-16.67	64	-16.67	64	-7.3	64	-7.3	64	-7.3	64	-6.56	-7.3	64	1	63
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_3.dlg	-10.35	86	-10.35	86	-5.64	86	-5.64	86	-5.78	98	-4.75	-5.99	48	1	66
P05201_1_413_5tor.1.A_swissmodel_HIS_PLP_2.dlg	-12.12	82	-12.12	82	-4.44	82	-4.44	82	-5.16	60	-4.42	-6.8	31	1	26
Q14CH1_35_495_5j8q.1.A_swissmodel_HIS_PLP_2.dlg	-8.79	7	-8.7	57	-2.36	7	-2.57	57	-3.27	74	-2.57	-5.0	31	3	25
Q8R0X7_110_553_4q6r.1.A_swissmodel_HIS_PLP_1.dlg	-12.86	51	-12.86	51	-5.45	51	-5.45	51	-5.87	84	-5.16	-5.87	84	1	41
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_1.dlg	-14.53	86	-14.53	86	-7.2	86	-7.2	86	-7.59	67	-6.97	-7.59	67	1	69
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-11.87	79	-10.52	25	-5.45	79	-4.04	25	-4.58	24	-3.83	-6.48	84	4	32
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_1.dlg	-13.52	28	-13.27	90	-8.39	28	-5.71	90	-5.8	59	-5.23	-8.39	28	4	31
Q8QZR1_52_442_4ge9.1.A_swissmodel_HIS_PLP_1.dlg	-8.44	82	-8.25	17	-3.16	82	-3.84	17	-3.98	13	-3.5	-5.95	4	2	21
P05202_30_430_3pd6_pdb_HIS_PLP_1.dlg	-14.81	69	-14.81	69	-4.51	69	-4.51	69	-5.4	76	-4.83	-7.68	71	1	45
P00860_7_427_1d7k.1.A_swissmodel_HIS_PLP_2.dlg	-10.89	84	-10.29	19	-4.68	84	-4.15	19	-4.15	19	-3.4	-6.68	6	2	27
A2AIG8-2_42_459_4n0b.2.B_swissmodel_HIS_PLP_1.dlg	-10.8	94	-10.8	94	-4.29	94	-4.29	94	-5.47	11	-4.71	-6.74	15	1	16
P24288_21_385_2abj.1.A_swissmodel_HIS_PLP_1.dlg	-11.49	39	-11.49	39	-4.92	39	-4.92	39	-5.24	5	-4.57	-5.97	93	1	29
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_3.dlg	-14.2	5	-13.94	62	-6.21	5	-5.42	62	-5.92	46	-5.32	-6.95	13	2	47
O35423-1_23_412_3kgw.1.A_swissmodel_HIS_PLP_2.dlg	-11.6	70	-9.55	13	-4.89	70	-7.0	13	-7.0	13	-5.29	-7.0	13	7	36
A2AIG8-2_41_459_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-10.56	32	-10.22	49	-5.08	32	-4.38	49	-4.97	94	-4.21	-6.2	34	2	54
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_4.dlg	-10.71	4	-10.71	4	-5.79	4	-5.79	4	-6.08	10	-5.48	-6.08	10	1	29
Q3UNZ2_26_422_1d7k.1.B_swissmodel_HIS_PLP_1.dlg	-11.29	17	-10.14	83	-5.16	17	-4.55	83	-4.69	28	-3.89	-6.11	67	2	22
Q71RI9-1_42_451_3e2z_pdb_HIS_PLP_2.dlg	-16.4	4	-16.4	4	-6.06	4	-6.06	4	-6.63	30	-5.31	-8.29	39	1	72
P50431_1_478_1eji_pdb_HIS_PLP_3.dlg	-12.9	16	-12.9	16	-5.64	16	-5.64	16	-6.31	26	-5.68	-6.52	74	1	39
Q71RI9-1_42_451_3e2y_pdb_HIS_PLP_2.dlg	-16.35	15	-16.35	15	-6.51	15	-6.51	15	-6.52	50	-5.32	-7.91	22	1	75
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_2.dlg	-11.1	7	-11.1	7	-3.7	7	-3.7	7	-4.75	14	-3.84	-7.99	30	1	22
O35484_11_417_1d7k.1.B_swissmodel_HIS_PLP_1.dlg	-6.91	20	-6.91	20	-3.73	20	-3.73	20	-3.73	20	-3.37	-4.0	84	1	21
Q9ET01_24_839_1xoi.1.A_swissmodel_HIS_PLP_1.dlg	-11.76	54	-11.46	4	-5.04	54	-5.57	4	-5.91	91	-5.06	-5.92	75	2	23
O35484_11_417_1d7k.1.B_swissmodel_HIS_PLP_2.dlg	-5.25	31	-4.88	30	-3.32	31	-2.25	30	-3.12	52	-2.45	-4.23	77	3	28
Q71RI9-2_7_416_5veq.1.A_swissmodel_HIS_PLP_1.dlg	-15.01	90	-15.01	90	-6.28	90	-6.28	90	-6.59	14	-6.04	-6.72	52	1	60
A2AIG8-1_37_482_4n0b.2.B_swissmodel_HIS_PLP_1.dlg	-10.84	49	-9.64	48	-4.93	49	-3.19	48	-3.19	48	-2.81	-6.81	91	10	15
P05202_30_430_3pd6_pdb_HIS_PLP_2.dlg	-14.34	56	-14.34	56	-5.23	56	-5.23	56	-5.57	93	-4.83	-8.1	79	1	45
A2AIG8-1_64_482_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-10.32	58	-9.95	52	-4.6	58	-4.42	52	-4.74	68	-4.01	-5.07	35	2	36
Q8CI94_11_836_2pyd.1.A_swissmodel_HIS_PLP_1.dlg	-10.6	52	-10.59	33	-3.59	52	-4.97	33	-6.16	72	-4.95	-6.16	72	2	31
Q91WT9-1_40_557_4pcu.1.A_swissmodel_HIS_PLP_2.dlg	-9.32	49	-8.66	30	-3.22	49	-5.01	30	-5.75	11	-4.79	-5.75	11	6	22
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_HIS_PLP_1.dlg	-9.09	48	-8.29	16	-5.24	48	-4.09	16	-4.35	42	-4.03	-5.31	69	3	19
P48320_88_584_2okk.1.A_swissmodel_HIS_PLP_1.dlg	-10.8	65	-9.64	10	-3.77	65	-4.09	10	-5.35	39	-4.34	-5.97	87	8	14
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_3.dlg	-13.64	97	-13.38	7	-5.54	97	-5.66	7	-5.74	98	-5.27	-8.37	68	3	33
Q8BWU8_9_436_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	-12.74	79	-12.74	79	-4.58	79	-4.58	79	-5.27	55	-4.29	-7.29	33	1	24
Q3UX83-2_102_522_6d0a.1.A_swissmodel_HIS_PLP_1.dlg	-9.9	53	-8.14	41	-5.15	53	-2.66	41	-3.18	69	-2.68	-6.24	46	6	14
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HIS_PLP_2.dlg	-6.36	62	-6.36	62	-3.07	62	-3.07	62	-3.18	100	-2.57	-4.38	12	1	20
Q8VC19_199_634_6hrh.1.B_swissmodel_HIS_PLP_2.dlg	-12.29	38	-12.29	38	-4.86	38	-4.86	38	-5.95	81	-4.82	-5.95	81	1	81
Q71RI9-1_42_451_2zjg_pdb_HIS_PLP_1.dlg	-13.17	36	-12.34	77	-6.02	36	-6.59	77	-6.74	81	-6.28	-7.51	45	2	30
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	-13.84	62	-13.84	62	-7.75	62	-7.75	62	-7.79	96	-7.08	-7.79	96	1	24
