KYN	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P04181_1_439_2byj_pdb_KYNU_PLP_2.dlg	-11.56	34	-11.06	54	-6.51	34	-6.26	54	-6.42	72	-5.41	-7.09	2	4	19
O15382_28_392_5bwr_pdb_KYNU_PLP_2.dlg	-14.43	19	-14.43	19	-6.03	19	-6.03	19	-6.93	80	-6.08	-9.21	45	1	17
P13196_240_598_3tqx.1.A_swissmodel_KYNU_PLP_2.dlg	-11.09	90	-10.5	27	-6.78	90	-8.35	27	-8.35	27	-7.21	-8.35	27	7	17
P06737_2_847_1xoi_pdb_KYNU_PLP_2.dlg	-13.61	65	-13.61	65	-7.32	65	-7.32	65	-7.82	85	-7.0	-8.39	11	1	20
O15382_28_392_5i60_pdb_KYNU_PLP_1.dlg	-14.68	98	-14.68	98	-6.33	98	-6.33	98	-6.46	14	-5.72	-8.01	66	1	12
O15382_28_392_2hdk_pdb_KYNU_PLP_1.dlg	-15.12	23	-15.12	23	-6.57	23	-6.57	23	-7.06	40	-5.5	-7.87	11	1	38
P06737_2_847_1fc0_pdb_KYNU_PLP_1.dlg	-12.81	1	-11.86	6	-3.16	1	-1.37	6	-2.02	10	-1.31	-7.01	62	8	18
O14977_2_437_4zgz_pdb_KYNU_PLP_1.dlg	-8.82	76	-6.61	73	-5.81	76	-3.63	73	-3.88	24	-3.25	-6.26	19	10	9
P11926_1_461_2oo0_pdb_KYNU_PLP_1.dlg	-10.71	92	-10.71	92	-4.25	92	-4.25	92	-4.54	33	-3.88	-6.65	2	1	24
Q9HD40_19_462_4zdl.1.A_swissmodel_KYNU_PLP_2.dlg	-16.88	71	-16.23	58	-8.21	71	-7.92	58	-7.92	58	-7.15	-8.63	100	4	23
P54687_1_386_2coi_pdb_KYNU_PLP_1.dlg	-12.99	39	-12.99	39	-5.71	39	-5.71	39	-6.7	94	-5.43	-8.4	12	1	62
Q96EN8_35_495_5j8q.1.A_swissmodel_KYNU_PLP_2.dlg	-10.85	79	-8.98	100	-6.68	79	-6.57	100	-6.65	90	-6.09	-7.38	54	5	23
P17735_41_444_3dyd.1.A_swissmodel_KYNU_PLP_2.dlg	-11.7	17	-11.7	17	-6.04	17	-6.04	17	-6.07	61	-5.06	-6.54	88	1	20
P34896_8_483_1eji.1.D_swissmodel_KYNU_PLP_1.dlg	-12.16	16	-10.82	4	-7.11	16	-6.69	4	-7.37	88	-6.24	-7.52	79	2	29
P21549_1_388_2yob_pdb_KYNU_PLP_1.dlg	-13.7	15	-13.39	34	-8.47	15	-6.14	34	-7.03	2	-5.64	-8.47	15	2	35
Q96QU6_55_475_1m7y.1.A_swissmodel_KYNU_PLP_2.dlg	-13.92	15	-10.71	12	-7.76	15	-5.89	12	-5.89	12	-4.83	-7.86	77	5	10
P04181_38_439_1gbn_pdb_KYNU_PLP_1.dlg	-11.53	18	-10.96	30	-5.38	18	-5.8	30	-6.05	86	-5.17	-7.16	37	2	35
P21549_1_392_4kyo_pdb_KYNU_PLP_2.dlg	-9.14	90	-6.48	31	-5.71	90	-6.23	31	-6.23	31	-3.38	-6.68	81	2	19
Q8N5Z0_1_425_5efs_pdb_KYNU_PLP_2.dlg	-15.28	36	-15.28	36	-6.32	36	-6.32	36	-7.08	19	-6.1	-8.15	37	1	59
P04181_36_439_2byj.1.A_swissmodel_KYNU_PLP_1.dlg	-10.43	46	-10.43	46	-5.49	46	-5.49	46	-5.89	48	-5.28	-7.32	30	1	20
O95470_62_568_4q6r_pdb_KYNU_PLP_1.dlg	-14.47	41	-11.5	51	-5.34	41	-6.13	51	-7.35	49	-6.53	-7.51	24	9	14
Q8N5Z0_1_425_5efs_pdb_KYNU_PLP_1.dlg	-15.64	13	-15.64	13	-6.5	13	-6.5	13	-7.28	74	-6.12	-8.57	62	1	51
O14977_10_432_4zgz.1.A_swissmodel_KYNU_PLP_1.dlg	-8.22	39	-8.22	39	-5.28	39	-5.28	39	-5.84	32	-4.45	-5.84	32	1	21
O15382_28_392_5bwx_pdb_KYNU_PLP_2.dlg	-16.1	96	-16.1	96	-6.68	96	-6.68	96	-7.42	14	-6.36	-8.54	34	1	38
Q9Y617_17_370_3e77.1.A_swissmodel_KYNU_PLP_2.dlg	-12.31	49	-12.31	49	-7.42	49	-7.42	49	-8.79	67	-7.12	-8.79	67	1	19
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_9.dlg
P11217_13_837_3zcp.1.A_swissmodel_KYNU_PLP_1.dlg	-14.07	100	-11.87	32	-7.11	100	-8.16	32	-8.16	32	-6.98	-8.16	32	5	14
Q96GA7_11_328_2rkb.1.A_swissmodel_KYNU_PLP_2.dlg	-12.56	82	-12.56	82	-6.5	82	-6.5	82	-6.5	82	-5.73	-7.8	55	1	17
Q8N5Z0_1_425_4gdy_pdb_KYNU_PLP_2.dlg	-14.86	18	-14.79	42	-7.46	18	-6.83	42	-7.03	76	-5.66	-7.93	98	2	64
P20132_1_328_1p5j_pdb_KYNU_PLP_1.dlg	-15.84	57	-14.53	54	-6.98	57	-5.94	54	-7.1	37	-6.24	-7.82	8	2	41
O15382_28_392_5i5t_pdb_KYNU_PLP_2.dlg	-14.59	9	-14.59	9	-7.14	9	-7.14	9	-7.14	9	-6.3	-8.59	98	1	20
P00505_32_430_5ax8.2.B_swissmodel_KYNU_PLP_1.dlg	-14.95	19	-14.95	19	-4.92	19	-4.92	19	-6.32	23	-5.03	-9.18	55	1	22
Q05329_88_584_2okk_pdb_KYNU_PLP_2.dlg	-12.73	93	-12.73	93	-4.53	93	-4.53	93	-4.53	93	-3.77	-8.16	6	1	20
P0DN79_43_545_4pcu.1.A_swissmodel_KYNU_PLP_1.dlg	-12.37	75	-11.25	95	-5.46	75	-4.55	95	-4.82	32	-3.88	-7.51	31	2	21
Q8N5Z0_1_425_3ue8_pdb_KYNU_PLP_1.dlg	-15.96	57	-15.96	57	-5.94	57	-5.94	57	-6.89	38	-5.79	-8.27	98	1	74
Q9Y600_7_493_2jis.1.A_swissmodel_KYNU_PLP_1.dlg	-12.41	29	-11.62	80	-7.78	29	-4.3	80	-4.77	35	-3.74	-7.78	29	3	17
P06737_1_847_1em6_pdb_KYNU_PLP_1.dlg	-13.86	53	-11.93	54	-8.39	53	-6.05	54	-6.92	70	-5.93	-9.11	96	10	22
P00505_30_430_5ax8_pdb_KYNU_PLP_2.dlg	-16.61	13	-15.95	54	-6.42	13	-6.03	54	-6.35	46	-5.84	-9.64	45	2	12
Q9HD40_1_501_4zdl_pdb_KYNU_PLP_2.dlg	-15.81	52	-13.86	7	-7.67	52	-4.75	7	-5.09	96	-4.57	-7.85	74	7	15
Q05329_168_585_4obv.1.A_swissmodel_KYNU_PLP_1.dlg	-12.86	28	-12.86	28	-4.85	28	-4.85	28	-4.99	70	-3.93	-6.51	1	1	30
P21549_1_392_4cbr_pdb_KYNU_PLP_2.dlg	-14.06	56	-14.06	56	-6.67	56	-6.67	56	-7.9	35	-6.04	-7.9	35	1	61
O15382_28_392_2hgw_pdb_KYNU_PLP_1.dlg	-14.87	11	-14.36	47	-5.97	11	-7.43	47	-8.18	63	-6.65	-8.18	63	2	26
Q8N5Z0_2_425_2vgz_pdb_KYNU_PLP_2.dlg	-14.97	75	-14.97	75	-6.65	75	-6.65	75	-6.71	14	-5.59	-8.28	87	1	59
P13196_240_598_3tqx.1.A_swissmodel_KYNU_PLP_1.dlg	-12.12	62	-11.16	12	-5.42	62	-7.13	12	-7.73	93	-6.9	-7.77	18	2	24
P0DN79_43_545_4pcu.1.A_swissmodel_KYNU_PLP_2.dlg	-10.44	91	-9.19	86	-4.48	91	-6.41	86	-6.63	83	-5.88	-7.4	28	4	13
Q16773_1_422_4wlj_pdb_KYNU_PLP_1.dlg	-16.77	3	-16.77	3	-7.8	3	-7.8	3	-8.14	9	-7.11	-8.55	22	1	52
O15382_28_392_2hgw_pdb_KYNU_PLP_2.dlg	-15.55	43	-15.55	43	-6.42	43	-6.42	43	-7.27	44	-6.39	-9.29	4	1	17
Q9HD40_1_501_3hl2_pdb_KYNU_PLP_3.dlg	-14.62	1	-14.56	23	-5.9	1	-6.32	23	-6.95	52	-6.14	-8.2	66	2	18
P34897_17_504_3ou5_pdb_KYNU_PLP_2.dlg	-9.4	35	-9.02	72	-4.43	35	-3.56	72	-4.41	21	-3.36	-5.38	93	5	9
Q05329_88_584_2okk.1.A_swissmodel_KYNU_PLP_1.dlg	-11.85	5	-11.55	19	-8.09	5	-3.89	19	-3.89	19	-3.0	-8.09	5	2	16
O95470_111_553_4q6r.1.A_swissmodel_KYNU_PLP_2.dlg	-13.05	93	-13.05	93	-4.5	93	-4.5	93	-5.71	38	-4.91	-7.18	19	1	31
P06737_1_847_1l7x_pdb_KYNU_PLP_1.dlg	-13.06	12	-13.06	12	-5.39	12	-5.39	12	-6.49	98	-5.13	-8.33	68	1	12
P06737_2_847_3dd1_pdb_KYNU_PLP_1.dlg	-12.52	26	-11.7	19	-5.87	26	-6.29	19	-8.15	18	-6.23	-9.02	47	6	18
O15270_112_537_4bmk.1.A_swissmodel_KYNU_PLP_1.dlg	-12.55	3	-12.55	3	-6.94	3	-6.94	3	-7.11	95	-5.88	-7.12	24	1	60
P34897_17_504_3ou5_pdb_KYNU_PLP_1.dlg	-9.81	14	-9.05	76	-4.6	14	-4.83	76	-4.83	76	-4.52	-5.35	93	4	5
P06737_1_847_1l5r_pdb_KYNU_PLP_4.dlg	-12.58	59	-11.9	66	-6.2	59	-6.0	66	-8.72	40	-7.04	-8.72	40	7	20
Q9NUV7_155_530_2x8u.1.A_swissmodel_KYNU_PLP_2.dlg	-11.12	30	-11.12	30	-5.95	30	-5.95	30	-6.4	49	-4.96	-7.02	28	1	65
P32929_1_402_2nmp_pdb_KYNU_PLP_3.dlg	-10.62	14	-10.62	14	-5.03	14	-5.03	14	-7.46	73	-4.09	-7.46	73	1	34
P06737_2_847_3dds_pdb_KYNU_PLP_1.dlg	-12.87	65	-12.87	65	-8.4	65	-8.4	65	-8.52	16	-6.89	-8.52	16	1	23
P32929_1_405_3elp_pdb_KYNU_PLP_3.dlg	-11.79	62	-11.58	77	-5.73	62	-4.97	77	-4.97	77	-4.8	-6.71	71	4	6
P54687_1_386_2coj_pdb_KYNU_PLP_1.dlg	-13.83	78	-13.66	57	-6.91	78	-5.11	57	-6.86	35	-5.64	-8.22	60	2	61
O94903_12_248_1ct5.1.A_swissmodel_KYNU_PLP_1.dlg	-9.7	19	-9.51	70	-3.65	19	-5.1	70	-5.44	60	-4.73	-7.16	10	3	11
O15382_28_392_1ekf_pdb_KYNU_PLP_1.dlg	-14.22	50	-14.22	50	-5.32	50	-5.32	50	-6.82	27	-5.82	-8.32	12	1	15
O15382_28_392_5hne_pdb_KYNU_PLP_2.dlg	-14.05	35	-13.23	12	-6.95	35	-4.5	12	-5.78	86	-4.72	-8.05	45	2	27
P32929_1_405_3elp_pdb_KYNU_PLP_4.dlg	-10.77	81	-10.71	95	-5.71	81	-5.66	95	-5.84	80	-5.46	-7.51	7	3	10
P21549_1_392_1h0c_pdb_KYNU_PLP_2.dlg	-12.05	62	-12.05	62	-7.16	62	-7.16	62	-7.6	17	-6.6	-8.28	30	1	38
P04181_38_439_2can_pdb_KYNU_PLP_1.dlg	-12.11	72	-10.25	6	-8.39	72	-5.07	6	-5.9	57	-4.97	-8.39	72	9	41
P06737_1_847_1l7x_pdb_KYNU_PLP_3.dlg	-13.16	91	-13.16	91	-5.62	91	-5.62	91	-6.2	17	-5.3	-8.13	6	1	12
Q8N5Z0_1_425_5tf5_pdb_KYNU_PLP_1.dlg	-14.58	74	-14.58	74	-4.98	74	-4.98	74	-6.61	95	-5.4	-7.14	45	1	52
Q16773_3_421_4ge9.1.A_swissmodel_KYNU_PLP_2.dlg	-10.59	1	-10.59	1	-7.01	1	-7.01	1	-7.75	92	-5.1	-7.75	92	1	37
P24298_19_495_3tcm.1.A_swissmodel_KYNU_PLP_1.dlg	-9.19	91	-7.65	10	-3.58	91	-6.26	10	-6.26	10	-1.86	-6.27	88	2	31
Q8N5Z0_1_425_4gdy_pdb_KYNU_PLP_1.dlg	-14.83	74	-14.83	74	-6.35	74	-6.35	74	-6.38	37	-5.34	-8.4	22	1	69
P06737_1_847_2zb2_pdb_KYNU_PLP_1.dlg	-11.44	14	-11.39	73	-6.17	14	-7.91	73	-8.01	3	-7.08	-8.01	3	2	10
P21549_6_392_3r9a.1.A_swissmodel_KYNU_PLP_1.dlg	-12.44	16	-12.44	16	-6.56	16	-6.56	16	-7.14	9	-5.92	-7.45	39	1	59
P54687_1_386_2cog_pdb_KYNU_PLP_2.dlg	-13.25	86	-13.25	86	-6.49	86	-6.49	86	-7.56	34	-6.02	-7.75	21	1	49
O15270_145_538_1fc4.1.A_swissmodel_KYNU_PLP_1.dlg	-0.44	63	1.12	11	-6.29	63	4.03	11	2.38	66	8.78	-6.29	63	3	14
O15382_28_392_5i5x_pdb_KYNU_PLP_2.dlg	-14.84	76	-14.84	76	-7.29	76	-7.29	76	-7.62	68	-6.49	-8.12	41	1	37
O15270_177_540_2bwp.1.A_swissmodel_KYNU_PLP_2.dlg	-7.45	31	-7.02	10	-6.75	31	-7.58	10	-7.58	10	-5.54	-7.58	10	3	18
P20711_1_480_3rbf.1.B_swissmodel_KYNU_PLP_1.dlg	-10.97	48	-9.8	38	-4.95	48	-4.42	38	-4.7	21	-4.06	-6.98	94	11	8
P21549_1_392_4i8a_pdb_KYNU_PLP_1.dlg	-8.96	100	-8.96	100	-5.6	100	-5.6	100	-6.05	90	-4.16	-6.29	7	1	23
O15382_28_392_5bwt_pdb_KYNU_PLP_1.dlg	-13.81	96	-12.57	6	-7.36	96	-7.01	6	-7.81	92	-6.48	-8.0	47	7	12
O15382_28_392_5i5v_pdb_KYNU_PLP_2.dlg	-14.3	49	-11.73	14	-5.98	49	-5.59	14	-5.83	32	-5.14	-8.32	44	11	15
Q4AC99_134_553_1m7y.1.A_swissmodel_KYNU_PLP_2.dlg	-11.06	84	-11.06	84	-5.76	84	-5.76	84	-5.76	84	-4.79	-6.79	92	1	8
Q8N5Z0_1_425_4ge4_pdb_KYNU_PLP_1.dlg	-17.29	73	-17.29	73	-6.84	73	-6.84	73	-7.66	100	-6.66	-8.79	34	1	49
P21549_1_392_4cbs_pdb_KYNU_PLP_2.dlg	-9.37	68	-9.37	68	-4.38	68	-4.38	68	-5.2	36	-2.12	-5.32	8	1	34
Q16773_1_422_4wlh_pdb_KYNU_PLP_1.dlg	-14.27	50	-14.27	50	-6.97	50	-6.97	50	-7.61	88	-6.13	-7.7	85	1	73
P19113_2_477_4e1o.1.A_swissmodel_KYNU_PLP_1.dlg	-14.47	40	-14.47	40	-7.11	40	-7.11	40	-7.11	40	-6.34	-7.82	9	1	35
P34896_8_483_1eji.1.D_swissmodel_KYNU_PLP_3.dlg	-10.51	71	-9.9	14	-6.58	71	-6.38	14	-6.73	21	-5.74	-6.83	13	2	31
Q8TD30_49_523_3ihj_pdb_KYNU_PLP_1.dlg	-11.94	54	-11.6	3	-3.9	54	-5.16	3	-6.05	9	-5.03	-6.91	80	2	17
Q9HD40_1_501_4zdp_pdb_KYNU_PLP_3.dlg	-13.92	52	-13.7	100	-6.66	52	-6.09	100	-7.47	51	-5.88	-8.06	94	2	23
Q6ZQY3_35_521_2jis.1.A_swissmodel_KYNU_PLP_1.dlg	-11.88	21	-11.88	21	-6.49	21	-6.49	21	-7.31	5	-6.22	-7.31	5	1	24
P11926_7_427_1d7k.1.A_swissmodel_KYNU_PLP_1.dlg	-10.61	67	-10.61	67	-4.85	67	-4.85	67	-5.98	20	-4.56	-6.53	38	1	18
P06737_1_847_1l5s_pdb_KYNU_PLP_2.dlg	-12.46	1	-11.67	10	-6.6	1	-7.79	10	-8.64	66	-7.23	-8.68	15	5	26
Q8NHS2_5_399_3wzf.1.A_swissmodel_KYNU_PLP_1.dlg	-12.47	96	-8.48	6	-7.3	96	-4.68	6	-5.45	78	-4.77	-7.3	96	21	7
P32929_10_399_3cog.1.A_swissmodel_KYNU_PLP_3.dlg	-4.28	17	-4.28	17	-1.86	17	-1.86	17	-4.64	9	-2.03	-7.04	52	1	19
Q9GZT4_1_340_3l6r_pdb_KYNU_PLP_2.dlg	-11.86	2	-11.86	2	-6.89	2	-6.89	2	-7.0	22	-6.29	-7.53	92	1	17
P34896_11_480_1bj4_pdb_KYNU_PLP_1.dlg	-11.22	48	-9.85	59	-6.28	48	-5.31	59	-5.65	61	-5.33	-6.57	63	2	7
Q9Y697_56_457_5usr.1.A_swissmodel_KYNU_PLP_2.dlg	-12.46	88	-10.99	79	-6.54	88	-6.93	79	-7.35	51	-6.76	-7.35	51	8	11
Q16773_1_422_1w7l_pdb_KYNU_PLP_1.dlg	-13.54	91	-13.54	91	-6.42	91	-6.42	91	-7.14	5	-5.93	-7.14	5	1	60
Q9HD40_1_501_4zdp_pdb_KYNU_PLP_4.dlg	-16.11	86	-16.11	86	-8.65	86	-8.65	86	-9.13	41	-7.03	-9.13	41	1	37
O15382_28_392_5i5t_pdb_KYNU_PLP_1.dlg	-14.52	26	-14.52	26	-6.41	26	-6.41	26	-7.28	90	-6.18	-7.54	6	1	20
O15270_112_537_4bmk.1.A_swissmodel_KYNU_PLP_2.dlg	-13.51	59	-13.51	59	-6.17	59	-6.17	59	-7.15	70	-5.77	-7.15	70	1	64
Q6ZQY3_35_521_2jis.1.A_swissmodel_KYNU_PLP_2.dlg	-12.7	100	-12.33	11	-5.78	100	-5.97	11	-7.11	20	-5.84	-7.73	25	3	21
O75600_24_417_2jg2.1.A_swissmodel_KYNU_PLP_2.dlg	-12.52	32	-11.37	7	-6.32	32	-4.9	7	-5.81	29	-4.66	-6.86	17	4	15
P06737_1_847_1em6_pdb_KYNU_PLP_2.dlg	-13.7	47	-12.67	58	-8.78	47	-8.92	58	-9.15	76	-7.82	-9.15	76	3	21
P13196_189_573_3hqt.1.A_swissmodel_KYNU_PLP_1.dlg	-11.49	19	-11.49	19	-8.38	19	-8.38	19	-8.59	54	-6.47	-8.59	54	1	34
Q16773_1_422_4wlh_pdb_KYNU_PLP_2.dlg	-13.8	35	-13.8	35	-6.02	35	-6.02	35	-7.19	49	-5.6	-7.19	49	1	67
Q9HD40_19_462_4zdl.1.A_swissmodel_KYNU_PLP_4.dlg	-16.76	67	-16.4	37	-7.64	67	-7.86	37	-7.86	37	-7.1	-8.85	34	3	22
Q8N5Z0_2_425_2vgz_pdb_KYNU_PLP_1.dlg	-14.12	25	-13.68	67	-5.13	25	-5.39	67	-6.42	43	-5.48	-7.19	42	3	24
Q9HD40_1_501_3hl2_pdb_KYNU_PLP_4.dlg	-15.85	29	-13.96	99	-6.27	29	-4.65	99	-7.84	18	-5.71	-9.3	35	7	13
P20711_1_480_3rbl_pdb_KYNU_PLP_1.dlg	-11.82	58	-9.93	64	-7.25	58	-3.1	64	-3.12	52	-2.91	-8.0	42	18	8
Q9Y600_1_493_2jis_pdb_KYNU_PLP_2.dlg	-12.26	45	-12.26	45	-6.06	45	-6.06	45	-7.34	55	-6.13	-7.88	19	1	25
P06737_2_847_2ati_pdb_KYNU_PLP_1.dlg	-12.58	55	-11.47	78	-5.62	55	-7.12	78	-7.12	78	-5.95	-7.99	82	5	17
O15382_28_392_5i5y_pdb_KYNU_PLP_1.dlg	-13.88	81	-13.68	35	-6.41	81	-6.09	35	-7.0	77	-6.21	-8.2	57	2	31
Q99259_93_593_2okj.1.A_swissmodel_KYNU_PLP_2.dlg	-12.5	11	-11.36	24	-6.13	11	-6.57	24	-6.92	73	-5.99	-6.97	74	3	27
P13196_199_595_2bwp.1.A_swissmodel_KYNU_PLP_2.dlg	-10.89	25	-10.89	25	-5.79	25	-5.79	25	-5.79	25	-4.42	-6.14	74	1	15
O15382_28_392_2hgx_pdb_KYNU_PLP_1.dlg	-14.71	45	-13.58	69	-6.37	45	-7.61	69	-7.61	69	-6.65	-9.89	39	2	20
P06737_1_847_1l5q_pdb_KYNU_PLP_3.dlg	-12.98	80	-12.82	68	-5.83	80	-8.56	68	-8.98	6	-7.47	-8.98	6	3	15
O75600_41_418_3tqx.1.A_swissmodel_KYNU_PLP_2.dlg	-12.52	55	-12.52	55	-8.55	55	-8.55	55	-8.55	55	-7.23	-8.76	73	1	23
P34897_22_504_4pvf_pdb_KYNU_PLP_4.dlg	-11.73	97	-11.64	60	-7.89	97	-6.8	60	-7.51	25	-6.66	-7.93	35	2	33
P06737_1_847_1l5q_pdb_KYNU_PLP_4.dlg	-13.14	35	-12.29	49	-5.88	35	-7.79	49	-8.17	98	-6.79	-8.69	24	7	16
Q16773_1_422_1w7m_pdb_KYNU_PLP_1.dlg	-13.95	100	-13.95	100	-7.22	100	-7.22	100	-7.31	87	-5.94	-7.54	91	1	57
P32929_1_405_3elp_pdb_KYNU_PLP_1.dlg	-12.79	95	-12.79	95	-5.37	95	-5.37	95	-5.37	95	-4.92	-7.0	96	1	9
P04181_38_439_1gbn_pdb_KYNU_PLP_4.dlg	-10.93	15	-10.7	99	-5.09	15	-5.04	99	-5.95	64	-4.88	-6.57	11	2	53
P17174_2_413_3wzf_pdb_KYNU_PLP_1.dlg	-14.35	45	-13.85	50	-10.23	45	-4.32	50	-5.76	26	-4.4	-10.23	45	2	14
P04181_1_439_1oat_pdb_KYNU_PLP_2.dlg	-10.02	71	-9.66	36	-5.91	71	-4.94	36	-5.74	43	-4.95	-6.53	4	2	22
P20711_1_480_3rch_pdb_KYNU_PLP_1.dlg	-10.27	63	-10.27	63	-6.0	63	-6.0	63	-6.0	63	-5.38	-6.31	92	1	30
P06737_24_832_3ceh_pdb_KYNU_PLP_1.dlg	-12.2	85	-11.48	29	-7.2	85	-6.81	29	-7.05	12	-5.89	-8.42	84	5	21
P11926_1_461_2oo0_pdb_KYNU_PLP_2.dlg	-10.2	67	-7.63	21	-5.35	67	-6.48	21	-6.48	21	-5.11	-6.58	28	6	22
O15382_28_392_1kt8_pdb_KYNU_PLP_1.dlg	-14.91	18	-14.91	18	-7.74	18	-7.74	18	-7.76	38	-6.64	-8.29	21	1	58
P04181_38_439_1gbn_pdb_KYNU_PLP_3.dlg	-11.31	15	-11.31	15	-5.25	15	-5.25	15	-5.78	82	-4.93	-7.56	54	1	30
P17735_41_444_3dyd.1.A_swissmodel_KYNU_PLP_1.dlg	-12.44	100	-10.97	20	-4.2	100	-4.64	20	-5.95	13	-5.04	-6.4	72	3	15
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_3.dlg
O15382_28_392_5i5u_pdb_KYNU_PLP_2.dlg	-15.68	100	-15.68	100	-7.58	100	-7.58	100	-8.45	46	-6.78	-8.45	46	1	43
P54687_1_386_2coj_pdb_KYNU_PLP_2.dlg	-14.49	13	-14.49	13	-7.23	13	-7.23	13	-7.23	13	-6.0	-8.02	7	1	49
Q9NUV7_105_529_4bmk.1.A_swissmodel_KYNU_PLP_1.dlg	-14.33	34	-14.33	34	-6.27	34	-6.27	34	-7.67	6	-6.17	-7.67	6	1	87
P06737_2_847_3ddw_pdb_KYNU_PLP_1.dlg	-12.14	4	-11.9	20	-7.04	4	-6.89	20	-8.51	30	-6.65	-8.51	30	4	15
O15382_28_392_1ekp_pdb_KYNU_PLP_1.dlg	-14.2	62	-14.2	62	-6.17	62	-6.17	62	-6.36	18	-5.79	-7.88	5	1	31
P06737_1_847_1l5r_pdb_KYNU_PLP_2.dlg	-12.97	89	-12.54	79	-7.01	89	-8.03	79	-8.03	79	-6.66	-8.39	52	2	17
Q96GA7_11_328_2rkb_pdb_KYNU_PLP_2.dlg	-13.42	98	-12.8	88	-7.62	98	-5.86	88	-6.29	65	-5.31	-7.85	55	3	17
P06737_24_832_3cem_pdb_KYNU_PLP_1.dlg	-13.78	2	-13.03	49	-7.51	2	-8.34	49	-8.72	78	-7.27	-8.93	68	3	13
Q6YP21_41_450_3e2y.1.A_swissmodel_KYNU_PLP_1.dlg	-18.56	28	-18.56	28	-8.33	28	-8.33	28	-9.1	15	-7.77	-9.1	15	1	34
Q96QU6_63_482_1ynu.1.A_swissmodel_KYNU_PLP_2.dlg	-12.93	92	-12.93	92	-5.91	92	-5.91	92	-6.1	20	-4.94	-7.21	4	1	27
P11926_1_461_2on3_pdb_KYNU_PLP_1.dlg	-11.29	17	-11.29	17	-4.99	17	-4.99	17	-4.99	17	-4.24	-6.46	30	1	13
Q9HD40_1_501_4zdp_pdb_KYNU_PLP_2.dlg	-15.36	25	-15.36	25	-8.69	25	-8.69	25	-8.69	25	-6.75	-8.69	25	1	27
P19113_2_477_4e1o.1.A_swissmodel_KYNU_PLP_2.dlg	-14.27	26	-13.55	14	-6.97	26	-7.62	14	-7.71	61	-6.59	-7.71	61	2	34
Q6ZQY3_35_520_5hsj.1.A_swissmodel_KYNU_PLP_2.dlg	-11.77	50	-11.77	50	-6.66	50	-6.66	50	-7.08	13	-6.2	-7.08	13	1	21
Q05329_88_584_2okk.1.A_swissmodel_KYNU_PLP_2.dlg	-11.33	41	-11.33	41	-4.15	41	-4.15	41	-4.49	73	-3.95	-8.08	95	1	9
P34897_43_504_4pvf.1.A_swissmodel_KYNU_PLP_3.dlg	-10.48	57	-9.64	73	-7.4	57	-5.89	73	-8.0	12	-6.44	-8.0	12	3	33
O15382_28_392_5cr5_pdb_KYNU_PLP_2.dlg	-14.89	72	-14.89	72	-6.22	72	-6.22	72	-6.73	77	-5.99	-7.91	75	1	31
P06737_1_847_1l7x_pdb_KYNU_PLP_4.dlg	-12.71	55	-12.43	37	-7.54	55	-7.67	37	-8.35	89	-6.62	-8.4	41	3	19
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_12.dlg
P20711_1_383_1js6.1.A_swissmodel_KYNU_PLP_1.dlg	-12.62	30	-11.71	81	-7.84	30	-5.97	81	-7.68	15	-6.4	-7.84	30	3	15
Q16773_1_422_1w7l_pdb_KYNU_PLP_2.dlg	-13.72	57	-13.72	57	-6.43	57	-6.43	57	-7.27	85	-5.86	-7.27	85	1	35
O15382_28_392_5i5w_pdb_KYNU_PLP_2.dlg	-13.76	15	-11.9	53	-6.93	15	-5.01	53	-5.66	83	-4.99	-7.81	19	6	38
O15382_28_392_5bww_pdb_KYNU_PLP_1.dlg	-14.6	9	-14.6	9	-6.03	9	-6.03	9	-6.74	67	-6.05	-8.41	18	1	17
Q9HD40_1_501_4zdp_pdb_KYNU_PLP_1.dlg	-14.11	30	-13.5	10	-6.85	30	-6.02	10	-7.23	36	-5.91	-8.26	90	2	20
O15382_28_392_2hgx_pdb_KYNU_PLP_2.dlg	-15.49	78	-15.49	78	-7.05	78	-7.05	78	-7.3	15	-6.29	-9.72	77	1	28
P06737_24_832_3cej_pdb_KYNU_PLP_2.dlg	-13.97	65	-12.06	96	-6.27	65	-8.31	96	-8.44	84	-7.27	-8.54	69	3	20
P11216_1_843_5iko_pdb_KYNU_PLP_4.dlg	-14.76	76	-13.7	72	-6.37	76	-7.05	72	-7.93	59	-6.73	-7.93	59	4	21
P32929_1_402_3cog_pdb_KYNU_PLP_3.dlg	-6.48	73	-1.79	50	-4.15	73	-6.06	50	-6.06	50	-2.9	-6.34	37	4	21
Q4AC99_168_554_3ath.1.A_swissmodel_KYNU_PLP_2.dlg	-9.94	46	-9.78	5	-5.74	46	-5.11	5	-5.11	5	-3.55	-6.24	39	2	17
P11216_22_840_5iko.1.A_swissmodel_KYNU_PLP_2.dlg	-14.23	95	-13.52	61	-6.41	95	-6.28	61	-7.26	48	-6.22	-7.26	48	2	14
